year,value,indicator,unit,code
2000,0.5496714153011233,Surface Temperature Anomaly,C,temp_anomaly
2001,0.5361735698828816,Surface Temperature Anomaly,C,temp_anomaly
2002,0.6647688538100692,Surface Temperature Anomaly,C,temp_anomaly
2003,0.8023029856408026,Surface Temperature Anomaly,C,temp_anomaly
2004,0.6765846625276664,Surface Temperature Anomaly,C,temp_anomaly
2005,0.726586304305082,Surface Temperature Anomaly,C,temp_anomaly
2006,0.9579212815507392,Surface Temperature Anomaly,C,temp_anomaly
2007,0.926743472915291,Surface Temperature Anomaly,C,temp_anomaly
2008,0.8530525614065048,Surface Temperature Anomaly,C,temp_anomaly
2009,1.0042560043585964,Surface Temperature Anomaly,C,temp_anomaly
2010,0.9536582307187538,Surface Temperature Anomaly,C,temp_anomaly
2011,1.0034270246429744,Surface Temperature Anomaly,C,temp_anomaly
2012,1.1241962271566035,Surface Temperature Anomaly,C,temp_anomaly
2013,0.9586719755342201,Surface Temperature Anomaly,C,temp_anomaly
2014,1.0275082167486969,Surface Temperature Anomaly,C,temp_anomaly
2015,1.1937712470759028,Surface Temperature Anomaly,C,temp_anomaly
2016,1.1987168879665577,Surface Temperature Anomaly,C,temp_anomaly
2017,1.3814247332595275,Surface Temperature Anomaly,C,temp_anomaly
2018,1.309197592447879,Surface Temperature Anomaly,C,temp_anomaly
2019,1.308769629866471,Surface Temperature Anomaly,C,temp_anomaly
2020,1.6465648768921555,Surface Temperature Anomaly,C,temp_anomaly
2021,1.5274223699513465,Surface Temperature Anomaly,C,temp_anomaly
2022,1.6067528204687924,Surface Temperature Anomaly,C,temp_anomaly
2023,1.5075251813786545,Surface Temperature Anomaly,C,temp_anomaly
2024,1.6455617275474819,Surface Temperature Anomaly,C,temp_anomaly
2000,370.4436903588395,CO2 Concentration,ppm,co2_conc
2001,367.3960256903108,CO2 Concentration,ppm,co2_conc
2002,375.5027920733827,CO2 Concentration,ppm,co2_conc
2003,373.59744524032476,CO2 Concentration,ppm,co2_conc
2004,376.83322500082687,CO2 Concentration,ppm,co2_conc
2005,377.59317355108243,CO2 Concentration,ppm,co2_conc
2006,389.40911273803573,CO2 Concentration,ppm,co2_conc
2007,383.94601110104827,CO2 Concentration,ppm,co2_conc
2008,381.7691562841764,CO2 Concentration,ppm,co2_conc
2009,391.29017964841273,CO2 Concentration,ppm,co2_conc
2010,385.11662540011594,CO2 Concentration,ppm,co2_conc
2011,392.83545438001903,CO2 Concentration,ppm,co2_conc
2012,386.1613195044809,CO2 Concentration,ppm,co2_conc
2013,390.6872558044063,CO2 Concentration,ppm,co2_conc
2014,398.7874449434765,CO2 Concentration,ppm,co2_conc
2015,402.9538663199816,CO2 Concentration,ppm,co2_conc
2016,402.6854731247599,CO2 Concentration,ppm,co2_conc
2017,403.53740687044706,CO2 Concentration,ppm,co2_conc
2018,404.79558521764284,CO2 Concentration,ppm,co2_conc
2019,402.0859120385303,CO2 Concentration,ppm,co2_conc
2020,407.1206231664212,CO2 Concentration,ppm,co2_conc
2021,410.15744491616084,CO2 Concentration,ppm,co2_conc
2022,418.2284889048757,CO2 Concentration,ppm,co2_conc
2023,417.3744731582739,CO2 Concentration,ppm,co2_conc
2024,410.9478393785491,CO2 Concentration,ppm,co2_conc
2000,1756.4816793878958,Methane (CH4) Level,ppb,ch4_conc
2001,1752.2983543916737,Methane (CH4) Level,ppb,ch4_conc
2002,1756.4615599938809,Methane (CH4) Level,ppb,ch4_conc
2003,1792.2335257768173,Methane (CH4) Level,ppb,ch4_conc
2004,1810.619990449919,Methane (CH4) Level,ppb,ch4_conc
2005,1818.625602382324,Methane (CH4) Level,ppb,ch4_conc
2006,1793.2156495355473,Methane (CH4) Level,ppb,ch4_conc
2007,1813.8157524829758,Methane (CH4) Level,ppb,ch4_conc
2008,1836.6252686280714,Methane (CH4) Level,ppb,ch4_conc
2009,1859.5109025424472,Methane (CH4) Level,ppb,ch4_conc
2010,1840.4165152430942,Methane (CH4) Level,ppb,ch4_conc
2011,1856.2868204667236,Methane (CH4) Level,ppb,ch4_conc
2012,1847.8733005198794,Methane (CH4) Level,ppb,ch4_conc
2013,1856.0758675183865,Methane (CH4) Level,ppb,ch4_conc
2014,1906.250516447884,Methane (CH4) Level,ppb,ch4_conc
2015,1927.1248005714165,Methane (CH4) Level,ppb,ch4_conc
2016,1908.5597975683934,Methane (CH4) Level,ppb,ch4_conc
2017,1940.0706579578405,Methane (CH4) Level,ppb,ch4_conc
2018,1937.2327205009526,Methane (CH4) Level,ppb,ch4_conc
