year,value,indicator,unit,code
2000,8.7357085758918,Adaptation Funding,Billion USD,adapt_funding
2001,14.463084599084567,Adaptation Funding,Billion USD,adapt_funding
2002,18.815537748675265,Adaptation Funding,Billion USD,adapt_funding
2003,15.442214897276003,Adaptation Funding,Billion USD,adapt_funding
2004,16.199242940594353,Adaptation Funding,Billion USD,adapt_funding
2005,20.00211183542639,Adaptation Funding,Billion USD,adapt_funding
2006,24.40482699571646,Adaptation Funding,Billion USD,adapt_funding
2007,18.224580735465832,Adaptation Funding,Billion USD,adapt_funding
2008,16.815276187451047,Adaptation Funding,Billion USD,adapt_funding
2009,25.797852602033664,Adaptation Funding,Billion USD,adapt_funding
2010,25.117150296343365,Adaptation Funding,Billion USD,adapt_funding
2011,29.967439209410756,Adaptation Funding,Billion USD,adapt_funding
2012,33.408878724730116,Adaptation Funding,Billion USD,adapt_funding
2013,34.18700636390795,Adaptation Funding,Billion USD,adapt_funding
2014,43.80987013788298,Adaptation Funding,Billion USD,adapt_funding
2015,41.30697905840928,Adaptation Funding,Billion USD,adapt_funding
2016,43.20189743844331,Adaptation Funding,Billion USD,adapt_funding
2017,46.48882857617361,Adaptation Funding,Billion USD,adapt_funding
2018,41.44466752887692,Adaptation Funding,Billion USD,adapt_funding
2019,52.15644714968107,Adaptation Funding,Billion USD,adapt_funding
2020,49.69694285385816,Adaptation Funding,Billion USD,adapt_funding
2021,54.68192246896485,Adaptation Funding,Billion USD,adapt_funding
2022,49.71257106783938,Adaptation Funding,Billion USD,adapt_funding
2023,49.78496493593574,Adaptation Funding,Billion USD,adapt_funding
2024,61.27155863210012,Adaptation Funding,Billion USD,adapt_funding
