year,value,indicator,unit,code
2000,0.10050098570069176,Aerosol Optical Depth,index,aerosol_opt
2001,0.10169289641899396,Aerosol Optical Depth,index,aerosol_opt
2002,0.10063995055684302,Aerosol Optical Depth,index,aerosol_opt
2003,0.10346450739432202,Aerosol Optical Depth,index,aerosol_opt
2004,0.10458614494659738,Aerosol Optical Depth,index,aerosol_opt
2005,0.10357129716394728,Aerosol Optical Depth,index,aerosol_opt
2006,0.10973154902228953,Aerosol Optical Depth,index,aerosol_opt
2007,0.10794766584182358,Aerosol Optical Depth,index,aerosol_opt
2008,0.10561739300559471,Aerosol Optical Depth,index,aerosol_opt
2009,0.11031310721726767,Aerosol Optical Depth,index,aerosol_opt
2010,0.10805063665954535,Aerosol Optical Depth,index,aerosol_opt
2011,0.1125741692074849,Aerosol Optical Depth,index,aerosol_opt
2012,0.11431719115801481,Aerosol Optical Depth,index,aerosol_opt
2013,0.11135863536329658,Aerosol Optical Depth,index,aerosol_opt
2014,0.11592675225848864,Aerosol Optical Depth,index,aerosol_opt
2015,0.11582556185387301,Aerosol Optical Depth,index,aerosol_opt
2016,0.11764412031998898,Aerosol Optical Depth,index,aerosol_opt
2017,0.1207935859653079,Aerosol Optical Depth,index,aerosol_opt
2018,0.11750922376799426,Aerosol Optical Depth,index,aerosol_opt
2019,0.11749252767128503,Aerosol Optical Depth,index,aerosol_opt
2020,0.11822097114074896,Aerosol Optical Depth,index,aerosol_opt
2021,0.11936837943006913,Aerosol Optical Depth,index,aerosol_opt
2022,0.12184579658117178,Aerosol Optical Depth,index,aerosol_opt
2023,0.12368230394963328,Aerosol Optical Depth,index,aerosol_opt
2024,0.12455338159866004,Aerosol Optical Depth,index,aerosol_opt
