year,value,indicator,unit,code
2000,98.8201860463744,Agricultural Yield Change,%,agri_yield
2001,100.9337242779642,Agricultural Yield Change,%,agri_yield
2002,98.73807498056699,Agricultural Yield Change,%,agri_yield
2003,98.96724782584853,Agricultural Yield Change,%,agri_yield
2004,98.63391202006665,Agricultural Yield Change,%,agri_yield
2005,98.68444401868545,Agricultural Yield Change,%,agri_yield
2006,98.68944232752358,Agricultural Yield Change,%,agri_yield
2007,98.41628409301585,Agricultural Yield Change,%,agri_yield
2008,97.25015353685863,Agricultural Yield Change,%,agri_yield
2009,97.19972697172815,Agricultural Yield Change,%,agri_yield
2010,97.16954797029298,Agricultural Yield Change,%,agri_yield
2011,96.55078532428988,Agricultural Yield Change,%,agri_yield
2012,97.364407345612,Agricultural Yield Change,%,agri_yield
2013,96.39458497098295,Agricultural Yield Change,%,agri_yield
2014,96.2409266716299,Agricultural Yield Change,%,agri_yield
2015,95.89772876120045,Agricultural Yield Change,%,agri_yield
2016,95.9040843144912,Agricultural Yield Change,%,agri_yield
2017,95.00861293522223,Agricultural Yield Change,%,agri_yield
2018,93.82190083122649,Agricultural Yield Change,%,agri_yield
2019,94.53981277105159,Agricultural Yield Change,%,agri_yield
2020,93.6091858637249,Agricultural Yield Change,%,agri_yield
2021,93.38282999095014,Agricultural Yield Change,%,agri_yield
2022,93.75181841125305,Agricultural Yield Change,%,agri_yield
2023,93.84296984286017,Agricultural Yield Change,%,agri_yield
2024,92.81276294604163,Agricultural Yield Change,%,agri_yield
