year,value,indicator,unit,code
2000,4.1051947617722915,Air Pollution Deaths,millions,aq_deaths
2001,3.9501939372685584,Air Pollution Deaths,millions,aq_deaths
2002,4.061602872804764,Air Pollution Deaths,millions,aq_deaths
2003,4.17502002062517,Air Pollution Deaths,millions,aq_deaths
2004,4.399566748978397,Air Pollution Deaths,millions,aq_deaths
2005,4.560991855600536,Air Pollution Deaths,millions,aq_deaths
2006,4.360672305913618,Air Pollution Deaths,millions,aq_deaths
2007,4.331680338127961,Air Pollution Deaths,millions,aq_deaths
2008,4.453450564848056,Air Pollution Deaths,millions,aq_deaths
2009,4.538765542587384,Air Pollution Deaths,millions,aq_deaths
2010,4.467933237444281,Air Pollution Deaths,millions,aq_deaths
2011,4.729521135591232,Air Pollution Deaths,millions,aq_deaths
2012,4.62300707591914,Air Pollution Deaths,millions,aq_deaths
2013,4.69977430890914,Air Pollution Deaths,millions,aq_deaths
2014,4.766592425205446,Air Pollution Deaths,millions,aq_deaths
2015,4.792158661061445,Air Pollution Deaths,millions,aq_deaths
2016,4.883894050046961,Air Pollution Deaths,millions,aq_deaths
2017,4.788274681345308,Air Pollution Deaths,millions,aq_deaths
2018,4.844169824605397,Air Pollution Deaths,millions,aq_deaths
2019,4.839984576702831,Air Pollution Deaths,millions,aq_deaths
2020,5.0439501230620225,Air Pollution Deaths,millions,aq_deaths
2021,5.127893650351211,Air Pollution Deaths,millions,aq_deaths
2022,5.145777286615188,Air Pollution Deaths,millions,aq_deaths
2023,5.317449243334754,Air Pollution Deaths,millions,aq_deaths
2024,5.199440398117096,Air Pollution Deaths,millions,aq_deaths
