year,value,indicator,unit,code
2000,48.78581138721227,Air Quality Index (AQI),index,aqi_index
2001,51.65811087350007,Air Quality Index (AQI),index,aqi_index
2002,51.791662693962934,Air Quality Index (AQI),index,aqi_index
2003,52.124119817052154,Air Quality Index (AQI),index,aqi_index
2004,52.62834550926428,Air Quality Index (AQI),index,aqi_index
2005,52.487753227153085,Air Quality Index (AQI),index,aqi_index
2006,52.10274562851417,Air Quality Index (AQI),index,aqi_index
2007,53.575804558193724,Air Quality Index (AQI),index,aqi_index
2008,53.32283828848789,Air Quality Index (AQI),index,aqi_index
2009,55.47511973341775,Air Quality Index (AQI),index,aqi_index
2010,54.85294261849786,Air Quality Index (AQI),index,aqi_index
2011,54.67450280320749,Air Quality Index (AQI),index,aqi_index
2012,55.67861415834701,Air Quality Index (AQI),index,aqi_index
2013,56.91293145427562,Air Quality Index (AQI),index,aqi_index
2014,56.436275447196024,Air Quality Index (AQI),index,aqi_index
2015,56.67777960443357,Air Quality Index (AQI),index,aqi_index
2016,58.24368721149191,Air Quality Index (AQI),index,aqi_index
2017,58.74496657110872,Air Quality Index (AQI),index,aqi_index
2018,58.49305682462887,Air Quality Index (AQI),index,aqi_index
2019,59.02896169438168,Air Quality Index (AQI),index,aqi_index
2020,60.23204993735764,Air Quality Index (AQI),index,aqi_index
2021,59.05191565850268,Air Quality Index (AQI),index,aqi_index
2022,59.59253622562345,Air Quality Index (AQI),index,aqi_index
2023,60.78155577874757,Air Quality Index (AQI),index,aqi_index
2024,61.78655284828815,Air Quality Index (AQI),index,aqi_index
