year,value,indicator,unit,code
2000,20.427642680535044,Battery Storage Capacity,GWh,battery_storage
2001,37.16172325142432,Battery Storage Capacity,GWh,battery_storage
2002,33.13426949002067,Battery Storage Capacity,GWh,battery_storage
2003,83.73060079611508,Battery Storage Capacity,GWh,battery_storage
2004,54.977683070601785,Battery Storage Capacity,GWh,battery_storage
2005,96.938177776808,Battery Storage Capacity,GWh,battery_storage
2006,64.41006983923653,Battery Storage Capacity,GWh,battery_storage
2007,109.29343547377286,Battery Storage Capacity,GWh,battery_storage
2008,119.76937226291493,Battery Storage Capacity,GWh,battery_storage
2009,146.75923766122824,Battery Storage Capacity,GWh,battery_storage
2010,143.91419213499924,Battery Storage Capacity,GWh,battery_storage
2011,166.05582212984996,Battery Storage Capacity,GWh,battery_storage
2012,209.7814151432452,Battery Storage Capacity,GWh,battery_storage
2013,186.89707288285348,Battery Storage Capacity,GWh,battery_storage
2014,166.8026869778396,Battery Storage Capacity,GWh,battery_storage
2015,282.48751712616263,Battery Storage Capacity,GWh,battery_storage
2016,286.4436223607146,Battery Storage Capacity,GWh,battery_storage
2017,221.23211914683145,Battery Storage Capacity,GWh,battery_storage
2018,295.69123415735584,Battery Storage Capacity,GWh,battery_storage
2019,274.9107568834597,Battery Storage Capacity,GWh,battery_storage
2020,312.9046164599318,Battery Storage Capacity,GWh,battery_storage
2021,328.8267238704048,Battery Storage Capacity,GWh,battery_storage
2022,327.9677659905103,Battery Storage Capacity,GWh,battery_storage
2023,326.4870300324081,Battery Storage Capacity,GWh,battery_storage
2024,344.2837684305122,Battery Storage Capacity,GWh,battery_storage
