year,value,indicator,unit,code
2000,89.90350557685747,Biodiversity Intactness Index,%,biodiversity_idx
2001,89.94082215860571,Biodiversity Intactness Index,%,biodiversity_idx
2002,89.09938423032382,Biodiversity Intactness Index,%,biodiversity_idx
2003,89.97750584162931,Biodiversity Intactness Index,%,biodiversity_idx
2004,89.16713952864298,Biodiversity Intactness Index,%,biodiversity_idx
2005,89.44691833263525,Biodiversity Intactness Index,%,biodiversity_idx
2006,88.93709013855108,Biodiversity Intactness Index,%,biodiversity_idx
2007,88.78270128766151,Biodiversity Intactness Index,%,biodiversity_idx
2008,88.62790691209288,Biodiversity Intactness Index,%,biodiversity_idx
2009,88.37908342400694,Biodiversity Intactness Index,%,biodiversity_idx
2010,88.25708910394702,Biodiversity Intactness Index,%,biodiversity_idx
2011,88.33166101205298,Biodiversity Intactness Index,%,biodiversity_idx
2012,87.67860846788058,Biodiversity Intactness Index,%,biodiversity_idx
2013,87.6836015030354,Biodiversity Intactness Index,%,biodiversity_idx
2014,87.16410572228511,Biodiversity Intactness Index,%,biodiversity_idx
2015,87.5760468861798,Biodiversity Intactness Index,%,biodiversity_idx
2016,86.52944307917629,Biodiversity Intactness Index,%,biodiversity_idx
2017,87.32037617316432,Biodiversity Intactness Index,%,biodiversity_idx
2018,86.38393681974227,Biodiversity Intactness Index,%,biodiversity_idx
2019,85.62768995915279,Biodiversity Intactness Index,%,biodiversity_idx
2020,86.05124176596432,Biodiversity Intactness Index,%,biodiversity_idx
2021,85.52757933701004,Biodiversity Intactness Index,%,biodiversity_idx
2022,85.93625741959548,Biodiversity Intactness Index,%,biodiversity_idx
2023,85.13895040827904,Biodiversity Intactness Index,%,biodiversity_idx
2024,85.02152662671409,Biodiversity Intactness Index,%,biodiversity_idx
