year,value,indicator,unit,code
2000,100.71782314540711,Biomass Density,t/ha,biomass_density
2001,99.59295548038553,Biomass Density,t/ha,biomass_density
2002,99.68951518065555,Biomass Density,t/ha,biomass_density
2003,99.3934308415709,Biomass Density,t/ha,biomass_density
2004,99.67535730937924,Biomass Density,t/ha,biomass_density
2005,100.01077297034945,Biomass Density,t/ha,biomass_density
2006,98.58765249083187,Biomass Density,t/ha,biomass_density
2007,98.40422422299271,Biomass Density,t/ha,biomass_density
2008,98.81766435082764,Biomass Density,t/ha,biomass_density
2009,98.47275659585053,Biomass Density,t/ha,biomass_density
2010,98.73868293029442,Biomass Density,t/ha,biomass_density
2011,98.03357127413038,Biomass Density,t/ha,biomass_density
2012,97.45628316368517,Biomass Density,t/ha,biomass_density
2013,97.63626193227692,Biomass Density,t/ha,biomass_density
2014,97.64348143223316,Biomass Density,t/ha,biomass_density
2015,97.32819287247895,Biomass Density,t/ha,biomass_density
2016,97.00290961244292,Biomass Density,t/ha,biomass_density
2017,97.02666987583565,Biomass Density,t/ha,biomass_density
2018,96.86771823617828,Biomass Density,t/ha,biomass_density
2019,96.75286359641501,Biomass Density,t/ha,biomass_density
2020,96.25948395503586,Biomass Density,t/ha,biomass_density
2021,95.73315276787325,Biomass Density,t/ha,biomass_density
2022,95.65868547457332,Biomass Density,t/ha,biomass_density
2023,95.88260358660335,Biomass Density,t/ha,biomass_density
2024,94.8732257316051,Biomass Density,t/ha,biomass_density
