year,value,indicator,unit,code
2000,0.5070126019854712,Carbon Intensity of GDP,kg/USD,carbon_intensity
2001,0.4997837426029533,Carbon Intensity of GDP,kg/USD,carbon_intensity
2002,0.49269442937123537,Carbon Intensity of GDP,kg/USD,carbon_intensity
2003,0.49219399683912446,Carbon Intensity of GDP,kg/USD,carbon_intensity
2004,0.46819637313857027,Carbon Intensity of GDP,kg/USD,carbon_intensity
2005,0.44517484690762915,Carbon Intensity of GDP,kg/USD,carbon_intensity
2006,0.4534514740240546,Carbon Intensity of GDP,kg/USD,carbon_intensity
2007,0.4679976386979043,Carbon Intensity of GDP,kg/USD,carbon_intensity
2008,0.4173473250723485,Carbon Intensity of GDP,kg/USD,carbon_intensity
2009,0.3905094139065872,Carbon Intensity of GDP,kg/USD,carbon_intensity
2010,0.42214161338573947,Carbon Intensity of GDP,kg/USD,carbon_intensity
2011,0.38759237672092806,Carbon Intensity of GDP,kg/USD,carbon_intensity
2012,0.3365466090797193,Carbon Intensity of GDP,kg/USD,carbon_intensity
2013,0.38694843354300845,Carbon Intensity of GDP,kg/USD,carbon_intensity
2014,0.3492934362809215,Carbon Intensity of GDP,kg/USD,carbon_intensity
2015,0.34818933435391675,Carbon Intensity of GDP,kg/USD,carbon_intensity
2016,0.34663960661138027,Carbon Intensity of GDP,kg/USD,carbon_intensity
2017,0.3338099935955813,Carbon Intensity of GDP,kg/USD,carbon_intensity
2018,0.3341890363427808,Carbon Intensity of GDP,kg/USD,carbon_intensity
2019,0.30129027258860314,Carbon Intensity of GDP,kg/USD,carbon_intensity
2020,0.31026211596352166,Carbon Intensity of GDP,kg/USD,carbon_intensity
2021,0.2848090664483217,Carbon Intensity of GDP,kg/USD,carbon_intensity
2022,0.2947762096177501,Carbon Intensity of GDP,kg/USD,carbon_intensity
2023,0.2823073496802611,Carbon Intensity of GDP,kg/USD,carbon_intensity
2024,0.2412912259591081,Carbon Intensity of GDP,kg/USD,carbon_intensity
