year,value,indicator,unit,code
2000,6.868066582799931,Carbon Tax Revenue,Billion USD,carbon_tax
2001,4.87715428081152,Carbon Tax Revenue,Billion USD,carbon_tax
2002,5.436322679786463,Carbon Tax Revenue,Billion USD,carbon_tax
2003,8.591901302213715,Carbon Tax Revenue,Billion USD,carbon_tax
2004,9.391556905940172,Carbon Tax Revenue,Billion USD,carbon_tax
2005,9.91225268161454,Carbon Tax Revenue,Billion USD,carbon_tax
2006,13.871329873896116,Carbon Tax Revenue,Billion USD,carbon_tax
2007,15.692732500569226,Carbon Tax Revenue,Billion USD,carbon_tax
2008,14.812176527100434,Carbon Tax Revenue,Billion USD,carbon_tax
2009,19.346072194532628,Carbon Tax Revenue,Billion USD,carbon_tax
2010,14.259946126079587,Carbon Tax Revenue,Billion USD,carbon_tax
2011,17.735217297728674,Carbon Tax Revenue,Billion USD,carbon_tax
2012,17.679626430553267,Carbon Tax Revenue,Billion USD,carbon_tax
2013,16.120312119024657,Carbon Tax Revenue,Billion USD,carbon_tax
2014,21.60156635397752,Carbon Tax Revenue,Billion USD,carbon_tax
2015,22.70780597988012,Carbon Tax Revenue,Billion USD,carbon_tax
2016,27.832279383781113,Carbon Tax Revenue,Billion USD,carbon_tax
2017,26.913948042931466,Carbon Tax Revenue,Billion USD,carbon_tax
2018,24.141951621609905,Carbon Tax Revenue,Billion USD,carbon_tax
2019,32.249822159202054,Carbon Tax Revenue,Billion USD,carbon_tax
2020,31.930480869260847,Carbon Tax Revenue,Billion USD,carbon_tax
2021,31.597034488324677,Carbon Tax Revenue,Billion USD,carbon_tax
2022,30.8564381627604,Carbon Tax Revenue,Billion USD,carbon_tax
2023,30.297345831863645,Carbon Tax Revenue,Billion USD,carbon_tax
2024,32.90670373742947,Carbon Tax Revenue,Billion USD,carbon_tax
