year,value,indicator,unit,code
2000,20.599363840466218,Carbon Capture Capacity (CCUS),MtCO2,ccus_capacity
2001,21.170059495766974,Carbon Capture Capacity (CCUS),MtCO2,ccus_capacity
2002,26.835693232004775,Carbon Capture Capacity (CCUS),MtCO2,ccus_capacity
2003,11.340442887994657,Carbon Capture Capacity (CCUS),MtCO2,ccus_capacity
2004,42.11943985386401,Carbon Capture Capacity (CCUS),MtCO2,ccus_capacity
2005,37.61250531233856,Carbon Capture Capacity (CCUS),MtCO2,ccus_capacity
2006,36.307228607537965,Carbon Capture Capacity (CCUS),MtCO2,ccus_capacity
2007,46.43388467342251,Carbon Capture Capacity (CCUS),MtCO2,ccus_capacity
2008,32.2376476710168,Carbon Capture Capacity (CCUS),MtCO2,ccus_capacity
2009,59.08652811480671,Carbon Capture Capacity (CCUS),MtCO2,ccus_capacity
2010,49.706284918179286,Carbon Capture Capacity (CCUS),MtCO2,ccus_capacity
2011,51.47329714156466,Carbon Capture Capacity (CCUS),MtCO2,ccus_capacity
2012,54.77640813782109,Carbon Capture Capacity (CCUS),MtCO2,ccus_capacity
2013,86.12688374989925,Carbon Capture Capacity (CCUS),MtCO2,ccus_capacity
2014,73.70736606307212,Carbon Capture Capacity (CCUS),MtCO2,ccus_capacity
2015,100.337277099165,Carbon Capture Capacity (CCUS),MtCO2,ccus_capacity
2016,84.64198536947703,Carbon Capture Capacity (CCUS),MtCO2,ccus_capacity
2017,77.92642042407053,Carbon Capture Capacity (CCUS),MtCO2,ccus_capacity
2018,88.8347556005134,Carbon Capture Capacity (CCUS),MtCO2,ccus_capacity
2019,117.35811620006939,Carbon Capture Capacity (CCUS),MtCO2,ccus_capacity
2020,108.44101822063332,Carbon Capture Capacity (CCUS),MtCO2,ccus_capacity
2021,109.51712703509399,Carbon Capture Capacity (CCUS),MtCO2,ccus_capacity
2022,121.60018225852788,Carbon Capture Capacity (CCUS),MtCO2,ccus_capacity
2023,130.01782736167544,Carbon Capture Capacity (CCUS),MtCO2,ccus_capacity
2024,141.17398815902462,Carbon Capture Capacity (CCUS),MtCO2,ccus_capacity
