year,value,indicator,unit,code
2000,1756.4816793878958,Methane (CH4) Level,ppb,ch4_conc
2001,1752.2983543916737,Methane (CH4) Level,ppb,ch4_conc
2002,1756.4615599938809,Methane (CH4) Level,ppb,ch4_conc
2003,1792.2335257768173,Methane (CH4) Level,ppb,ch4_conc
2004,1810.619990449919,Methane (CH4) Level,ppb,ch4_conc
2005,1818.625602382324,Methane (CH4) Level,ppb,ch4_conc
2006,1793.2156495355473,Methane (CH4) Level,ppb,ch4_conc
2007,1813.8157524829758,Methane (CH4) Level,ppb,ch4_conc
2008,1836.6252686280714,Methane (CH4) Level,ppb,ch4_conc
2009,1859.5109025424472,Methane (CH4) Level,ppb,ch4_conc
2010,1840.4165152430942,Methane (CH4) Level,ppb,ch4_conc
2011,1856.2868204667236,Methane (CH4) Level,ppb,ch4_conc
2012,1847.8733005198794,Methane (CH4) Level,ppb,ch4_conc
2013,1856.0758675183865,Methane (CH4) Level,ppb,ch4_conc
2014,1906.250516447884,Methane (CH4) Level,ppb,ch4_conc
2015,1927.1248005714165,Methane (CH4) Level,ppb,ch4_conc
2016,1908.5597975683934,Methane (CH4) Level,ppb,ch4_conc
2017,1940.0706579578405,Methane (CH4) Level,ppb,ch4_conc
2018,1937.2327205009526,Methane (CH4) Level,ppb,ch4_conc
2019,1927.0976049078974,Methane (CH4) Level,ppb,ch4_conc
2020,1957.2279121101683,Methane (CH4) Level,ppb,ch4_conc
2021,1990.7607313293195,Methane (CH4) Level,ppb,ch4_conc
2022,1969.283479217801,Methane (CH4) Level,ppb,ch4_conc
2023,2011.2928731162801,Methane (CH4) Level,ppb,ch4_conc
2024,1937.605097918205,Methane (CH4) Level,ppb,ch4_conc
