year,value,indicator,unit,code
2000,307.35398179014777,Climate Laws Count,count,climate_laws
2001,392.02044726043414,Climate Laws Count,count,climate_laws
2002,389.5578541175775,Climate Laws Count,count,climate_laws
2003,368.38637661098505,Climate Laws Count,count,climate_laws
2004,360.3345525747181,Climate Laws Count,count,climate_laws
2005,432.2849038654924,Climate Laws Count,count,climate_laws
2006,381.0581520118213,Climate Laws Count,count,climate_laws
2007,459.0543107742488,Climate Laws Count,count,climate_laws
2008,480.2188063666651,Climate Laws Count,count,climate_laws
2009,522.4083962999551,Climate Laws Count,count,climate_laws
2010,610.3864015564432,Climate Laws Count,count,climate_laws
2011,535.6966386871507,Climate Laws Count,count,climate_laws
2012,519.6414549717,Climate Laws Count,count,climate_laws
2013,558.9770275123202,Climate Laws Count,count,climate_laws
2014,509.2369638044353,Climate Laws Count,count,climate_laws
2015,572.2114747564377,Climate Laws Count,count,climate_laws
2016,603.6287024754758,Climate Laws Count,count,climate_laws
2017,619.0364640826162,Climate Laws Count,count,climate_laws
2018,666.0941948813489,Climate Laws Count,count,climate_laws
2019,647.103202704712,Climate Laws Count,count,climate_laws
2020,744.8412266929788,Climate Laws Count,count,climate_laws
2021,720.0082825967279,Climate Laws Count,count,climate_laws
2022,739.6279871544555,Climate Laws Count,count,climate_laws
2023,746.8842113394833,Climate Laws Count,count,climate_laws
2024,786.2076273543591,Climate Laws Count,count,climate_laws
