year,value,indicator,unit,code
2000,7.113049786650986,Climate Patents Count,thousands,climate_patents
2001,12.707283488557591,Climate Patents Count,thousands,climate_patents
2002,11.813279661650938,Climate Patents Count,thousands,climate_patents
2003,14.913379558695787,Climate Patents Count,thousands,climate_patents
2004,24.693808361194147,Climate Patents Count,thousands,climate_patents
2005,25.36184420716139,Climate Patents Count,thousands,climate_patents
2006,16.80167505228961,Climate Patents Count,thousands,climate_patents
2007,27.3189296715167,Climate Patents Count,thousands,climate_patents
2008,29.24558621796637,Climate Patents Count,thousands,climate_patents
2009,23.406946844989527,Climate Patents Count,thousands,climate_patents
2010,33.27511057501944,Climate Patents Count,thousands,climate_patents
2011,38.151727673650214,Climate Patents Count,thousands,climate_patents
2012,29.509820775022344,Climate Patents Count,thousands,climate_patents
2013,32.329988715942946,Climate Patents Count,thousands,climate_patents
2014,42.07064586737401,Climate Patents Count,thousands,climate_patents
2015,41.08598124330259,Climate Patents Count,thousands,climate_patents
2016,44.20590510095809,Climate Patents Count,thousands,climate_patents
2017,45.36235686560199,Climate Patents Count,thousands,climate_patents
2018,47.562783683712574,Climate Patents Count,thousands,climate_patents
2019,42.694111486755666,Climate Patents Count,thousands,climate_patents
2020,54.189270826485796,Climate Patents Count,thousands,climate_patents
2021,56.678359969711096,Climate Patents Count,thousands,climate_patents
2022,53.08243702372789,Climate Patents Count,thousands,climate_patents
2023,55.82609220074455,Climate Patents Count,thousands,climate_patents
2024,51.87556998977711,Climate Patents Count,thousands,climate_patents
