year,value,indicator,unit,code
2000,-0.046910982681939606,Climate Refugees Count,millions,climate_refugees
2001,2.036652752527286,Climate Refugees Count,millions,climate_refugees
2002,3.185704154662997,Climate Refugees Count,millions,climate_refugees
2003,3.218953310665067,Climate Refugees Count,millions,climate_refugees
2004,3.9960476858058165,Climate Refugees Count,millions,climate_refugees
2005,2.7432049114305395,Climate Refugees Count,millions,climate_refugees
2006,2.5781893332581562,Climate Refugees Count,millions,climate_refugees
2007,6.001333651955487,Climate Refugees Count,millions,climate_refugees
2008,4.677320161157864,Climate Refugees Count,millions,climate_refugees
2009,5.249166983544953,Climate Refugees Count,millions,climate_refugees
2010,7.328194141849058,Climate Refugees Count,millions,climate_refugees
2011,7.05623000940066,Climate Refugees Count,millions,climate_refugees
2012,7.455887772081607,Climate Refugees Count,millions,climate_refugees
2013,9.665002344901083,Climate Refugees Count,millions,climate_refugees
2014,7.356481769619857,Climate Refugees Count,millions,climate_refugees
2015,9.427840128081238,Climate Refugees Count,millions,climate_refugees
2016,9.057013124897084,Climate Refugees Count,millions,climate_refugees
2017,9.768592278863258,Climate Refugees Count,millions,climate_refugees
2018,11.528468426412532,Climate Refugees Count,millions,climate_refugees
2019,11.007835756289623,Climate Refugees Count,millions,climate_refugees
2020,11.538296079049633,Climate Refugees Count,millions,climate_refugees
2021,12.572507337309801,Climate Refugees Count,millions,climate_refugees
2022,11.635047270457115,Climate Refugees Count,millions,climate_refugees
2023,11.660790332660994,Climate Refugees Count,millions,climate_refugees
2024,11.955190805978967,Climate Refugees Count,millions,climate_refugees
