year,value,indicator,unit,code
2000,65.1654366498072,Cloud Fraction,%,cloud_fraction
2001,64.90260037837558,Cloud Fraction,%,cloud_fraction
2002,65.09070681543146,Cloud Fraction,%,cloud_fraction
2003,64.64706863335242,Cloud Fraction,%,cloud_fraction
2004,65.14403383331792,Cloud Fraction,%,cloud_fraction
2005,64.625133469553,Cloud Fraction,%,cloud_fraction
2006,64.22856848871675,Cloud Fraction,%,cloud_fraction
2007,64.08582150038778,Cloud Fraction,%,cloud_fraction
2008,64.29649448304863,Cloud Fraction,%,cloud_fraction
2009,64.05530744293482,Cloud Fraction,%,cloud_fraction
2010,64.14280009881841,Cloud Fraction,%,cloud_fraction
2011,63.994647524914704,Cloud Fraction,%,cloud_fraction
2012,63.78543421746862,Cloud Fraction,%,cloud_fraction
2013,63.530641256386325,Cloud Fraction,%,cloud_fraction
2014,63.297030555062825,Cloud Fraction,%,cloud_fraction
2015,63.4106970095866,Cloud Fraction,%,cloud_fraction
2016,63.57127975886469,Cloud Fraction,%,cloud_fraction
2017,63.34281874882604,Cloud Fraction,%,cloud_fraction
2018,62.950852244257604,Cloud Fraction,%,cloud_fraction
2019,63.13463618517024,Cloud Fraction,%,cloud_fraction
2020,63.07706347594577,Cloud Fraction,%,cloud_fraction
2021,62.723228512759775,Cloud Fraction,%,cloud_fraction
2022,62.8307450211891,Cloud Fraction,%,cloud_fraction
2023,62.7116417436892,Cloud Fraction,%,cloud_fraction
2024,62.371405940433874,Cloud Fraction,%,cloud_fraction
