year,value,indicator,unit,code
2000,370.4436903588395,CO2 Concentration,ppm,co2_conc
2001,367.3960256903108,CO2 Concentration,ppm,co2_conc
2002,375.5027920733827,CO2 Concentration,ppm,co2_conc
2003,373.59744524032476,CO2 Concentration,ppm,co2_conc
2004,376.83322500082687,CO2 Concentration,ppm,co2_conc
2005,377.59317355108243,CO2 Concentration,ppm,co2_conc
2006,389.40911273803573,CO2 Concentration,ppm,co2_conc
2007,383.94601110104827,CO2 Concentration,ppm,co2_conc
2008,381.7691562841764,CO2 Concentration,ppm,co2_conc
2009,391.29017964841273,CO2 Concentration,ppm,co2_conc
2010,385.11662540011594,CO2 Concentration,ppm,co2_conc
2011,392.83545438001903,CO2 Concentration,ppm,co2_conc
2012,386.1613195044809,CO2 Concentration,ppm,co2_conc
2013,390.6872558044063,CO2 Concentration,ppm,co2_conc
2014,398.7874449434765,CO2 Concentration,ppm,co2_conc
2015,402.9538663199816,CO2 Concentration,ppm,co2_conc
2016,402.6854731247599,CO2 Concentration,ppm,co2_conc
2017,403.53740687044706,CO2 Concentration,ppm,co2_conc
2018,404.79558521764284,CO2 Concentration,ppm,co2_conc
2019,402.0859120385303,CO2 Concentration,ppm,co2_conc
2020,407.1206231664212,CO2 Concentration,ppm,co2_conc
2021,410.15744491616084,CO2 Concentration,ppm,co2_conc
2022,418.2284889048757,CO2 Concentration,ppm,co2_conc
2023,417.3744731582739,CO2 Concentration,ppm,co2_conc
2024,410.9478393785491,CO2 Concentration,ppm,co2_conc
