year,value,indicator,unit,code
2000,159.92684142355807,Coal Consumption,EJ,coal_cons
2001,160.34995056765928,Coal Consumption,EJ,coal_cons
2002,159.34161432835018,Coal Consumption,EJ,coal_cons
2003,159.0803231973399,Coal Consumption,EJ,coal_cons
2004,159.0069025911272,Coal Consumption,EJ,coal_cons
2005,158.61866855669652,Coal Consumption,EJ,coal_cons
2006,158.84906812639792,Coal Consumption,EJ,coal_cons
2007,159.2498713833878,Coal Consumption,EJ,coal_cons
2008,158.5292317092464,Coal Consumption,EJ,coal_cons
2009,158.0990585991495,Coal Consumption,EJ,coal_cons
2010,157.8832754924338,Coal Consumption,EJ,coal_cons
2011,157.17472367652135,Coal Consumption,EJ,coal_cons
2012,157.95324391085884,Coal Consumption,EJ,coal_cons
2013,157.3688651211949,Coal Consumption,EJ,coal_cons
2014,157.12780803456374,Coal Consumption,EJ,coal_cons
2015,158.27724302713796,Coal Consumption,EJ,coal_cons
2016,156.9195011633463,Coal Consumption,EJ,coal_cons
2017,156.29928357996192,Coal Consumption,EJ,coal_cons
2018,156.2294569615178,Coal Consumption,EJ,coal_cons
2019,156.65937828367868,Coal Consumption,EJ,coal_cons
2020,156.0453081642151,Coal Consumption,EJ,coal_cons
2021,155.22468880867305,Coal Consumption,EJ,coal_cons
2022,155.96769157383008,Coal Consumption,EJ,coal_cons
2023,155.1327423657844,Coal Consumption,EJ,coal_cons
2024,155.949319110487,Coal Consumption,EJ,coal_cons
