year,value,indicator,unit,code
2000,8.132352092885784,Cold Wave Frequency,events/year,cold_freq
2001,8.13341158464357,Cold Wave Frequency,events/year,cold_freq
2002,6.802505742971418,Cold Wave Frequency,events/year,cold_freq
2003,7.549622627939029,Cold Wave Frequency,events/year,cold_freq
2004,7.691067596989317,Cold Wave Frequency,events/year,cold_freq
2005,6.516143592523518,Cold Wave Frequency,events/year,cold_freq
2006,7.469028954735081,Cold Wave Frequency,events/year,cold_freq
2007,6.767607603746418,Cold Wave Frequency,events/year,cold_freq
2008,6.117995257696637,Cold Wave Frequency,events/year,cold_freq
2009,6.177692368936918,Cold Wave Frequency,events/year,cold_freq
2010,6.223330765008689,Cold Wave Frequency,events/year,cold_freq
2011,5.830402156564965,Cold Wave Frequency,events/year,cold_freq
2012,5.815502396978547,Cold Wave Frequency,events/year,cold_freq
2013,5.031730562768254,Cold Wave Frequency,events/year,cold_freq
2014,5.26774432961443,Cold Wave Frequency,events/year,cold_freq
2015,4.434514201238008,Cold Wave Frequency,events/year,cold_freq
2016,4.75550957546052,Cold Wave Frequency,events/year,cold_freq
2017,4.238436943414084,Cold Wave Frequency,events/year,cold_freq
2018,4.105788022964093,Cold Wave Frequency,events/year,cold_freq
2019,4.694437270084174,Cold Wave Frequency,events/year,cold_freq
2020,4.4365240482377075,Cold Wave Frequency,events/year,cold_freq
2021,4.043655248362871,Cold Wave Frequency,events/year,cold_freq
2022,3.163074894130968,Cold Wave Frequency,events/year,cold_freq
2023,3.273436620122079,Cold Wave Frequency,events/year,cold_freq
2024,3.6852390799916726,Cold Wave Frequency,events/year,cold_freq
