year,value,indicator,unit,code
2000,4.887843235688148,Coral Bleaching Events,count,coral_bleach
2001,5.103951797414192,Coral Bleaching Events,count,coral_bleach
2002,18.74213079900352,Coral Bleaching Events,count,coral_bleach
2003,25.557249122886947,Coral Bleaching Events,count,coral_bleach
2004,40.94191518470949,Coral Bleaching Events,count,coral_bleach
2005,18.075353702851807,Coral Bleaching Events,count,coral_bleach
2006,55.29550319460614,Coral Bleaching Events,count,coral_bleach
2007,43.419921014210104,Coral Bleaching Events,count,coral_bleach
2008,45.7311893005258,Coral Bleaching Events,count,coral_bleach
2009,44.87895624739832,Coral Bleaching Events,count,coral_bleach
2010,43.451433281342304,Coral Bleaching Events,count,coral_bleach
2011,73.23170583961914,Coral Bleaching Events,count,coral_bleach
2012,70.73317967188405,Coral Bleaching Events,count,coral_bleach
2013,62.10039100258946,Coral Bleaching Events,count,coral_bleach
2014,67.04921227936384,Coral Bleaching Events,count,coral_bleach
2015,81.64215300709871,Coral Bleaching Events,count,coral_bleach
2016,106.69021525289392,Coral Bleaching Events,count,coral_bleach
2017,92.40408648636395,Coral Bleaching Events,count,coral_bleach
2018,84.96857046881894,Coral Bleaching Events,count,coral_bleach
2019,102.54256935914056,Coral Bleaching Events,count,coral_bleach
2020,107.2727643025233,Coral Bleaching Events,count,coral_bleach
2021,88.03113357058429,Coral Bleaching Events,count,coral_bleach
2022,119.45705133482188,Coral Bleaching Events,count,coral_bleach
2023,122.69065469791322,Coral Bleaching Events,count,coral_bleach
2024,136.96206364813418,Coral Bleaching Events,count,coral_bleach
