year,value,indicator,unit,code
2000,11.895455395896192,Deforestation Rate,Mha/year,deforestation_rate
2001,12.309801845167378,Deforestation Rate,Mha/year,deforestation_rate
2002,12.059131261891448,Deforestation Rate,Mha/year,deforestation_rate
2003,12.01830774072729,Deforestation Rate,Mha/year,deforestation_rate
2004,12.08867416529522,Deforestation Rate,Mha/year,deforestation_rate
2005,12.621201990269128,Deforestation Rate,Mha/year,deforestation_rate
2006,12.343914129500742,Deforestation Rate,Mha/year,deforestation_rate
2007,13.050958836396873,Deforestation Rate,Mha/year,deforestation_rate
2008,12.383614118423257,Deforestation Rate,Mha/year,deforestation_rate
2009,13.239291273658008,Deforestation Rate,Mha/year,deforestation_rate
2010,13.042203493440523,Deforestation Rate,Mha/year,deforestation_rate
2011,13.08065737762592,Deforestation Rate,Mha/year,deforestation_rate
2012,13.09101618263821,Deforestation Rate,Mha/year,deforestation_rate
2013,13.379827222870414,Deforestation Rate,Mha/year,deforestation_rate
2014,13.39247305951503,Deforestation Rate,Mha/year,deforestation_rate
2015,13.720660376403304,Deforestation Rate,Mha/year,deforestation_rate
2016,13.622845529732407,Deforestation Rate,Mha/year,deforestation_rate
2017,13.730060352292375,Deforestation Rate,Mha/year,deforestation_rate
2018,13.72727755755723,Deforestation Rate,Mha/year,deforestation_rate
2019,13.888610875255788,Deforestation Rate,Mha/year,deforestation_rate
2020,14.061560353778411,Deforestation Rate,Mha/year,deforestation_rate
2021,13.757966321468675,Deforestation Rate,Mha/year,deforestation_rate
2022,13.930362915578856,Deforestation Rate,Mha/year,deforestation_rate
2023,14.448652818804543,Deforestation Rate,Mha/year,deforestation_rate
2024,14.434173087625588,Deforestation Rate,Mha/year,deforestation_rate
