year,value,indicator,unit,code
2000,495.2893258403286,Desertification Area,Mha,desertification
2001,499.3185884725254,Desertification Area,Mha,desertification
2002,502.2574440933455,Desertification Area,Mha,desertification
2003,504.27669971269984,Desertification Area,Mha,desertification
2004,507.862016292652,Desertification Area,Mha,desertification
2005,508.03310300279975,Desertification Area,Mha,desertification
2006,504.9939669238697,Desertification Area,Mha,desertification
2007,511.6405935530179,Desertification Area,Mha,desertification
2008,513.8317572358515,Desertification Area,Mha,desertification
2009,515.1793713437932,Desertification Area,Mha,desertification
2010,518.2423421766639,Desertification Area,Mha,desertification
2011,519.0017664636467,Desertification Area,Mha,desertification
2012,519.3775402376854,Desertification Area,Mha,desertification
2013,519.2895028656241,Desertification Area,Mha,desertification
2014,516.0171171994521,Desertification Area,Mha,desertification
2015,523.7888546573978,Desertification Area,Mha,desertification
2016,524.6230630614893,Desertification Area,Mha,desertification
2017,526.3147365115861,Desertification Area,Mha,desertification
2018,523.1697542725391,Desertification Area,Mha,desertification
2019,525.2568303787752,Desertification Area,Mha,desertification
2020,533.1594585599987,Desertification Area,Mha,desertification
2021,531.38133453843,Desertification Area,Mha,desertification
2022,535.0445020921179,Desertification Area,Mha,desertification
2023,534.5849551283914,Desertification Area,Mha,desertification
2024,536.0892684184872,Desertification Area,Mha,desertification
