year,value,indicator,unit,code
2000,199.68887332496365,Dissolved Oxygen,umol/kg,dissolved_o2
2001,199.35576966181367,Dissolved Oxygen,umol/kg,dissolved_o2
2002,200.30090817736945,Dissolved Oxygen,umol/kg,dissolved_o2
2003,199.77427135725898,Dissolved Oxygen,umol/kg,dissolved_o2
2004,199.70862203799766,Dissolved Oxygen,umol/kg,dissolved_o2
2005,199.2886688256173,Dissolved Oxygen,umol/kg,dissolved_o2
2006,198.3483792915131,Dissolved Oxygen,umol/kg,dissolved_o2
2007,198.3901918934881,Dissolved Oxygen,umol/kg,dissolved_o2
2008,198.59574982449118,Dissolved Oxygen,umol/kg,dissolved_o2
2009,197.71114887644322,Dissolved Oxygen,umol/kg,dissolved_o2
2010,198.28519937206894,Dissolved Oxygen,umol/kg,dissolved_o2
2011,197.70386984073676,Dissolved Oxygen,umol/kg,dissolved_o2
2012,197.45007167698014,Dissolved Oxygen,umol/kg,dissolved_o2
2013,197.6843839872814,Dissolved Oxygen,umol/kg,dissolved_o2
2014,197.37770532459442,Dissolved Oxygen,umol/kg,dissolved_o2
2015,196.85561353367237,Dissolved Oxygen,umol/kg,dissolved_o2
2016,197.2637319213457,Dissolved Oxygen,umol/kg,dissolved_o2
2017,196.16757466896004,Dissolved Oxygen,umol/kg,dissolved_o2
2018,196.6463742427777,Dissolved Oxygen,umol/kg,dissolved_o2
2019,196.43724050318735,Dissolved Oxygen,umol/kg,dissolved_o2
2020,195.8761814242744,Dissolved Oxygen,umol/kg,dissolved_o2
2021,195.93045320889686,Dissolved Oxygen,umol/kg,dissolved_o2
2022,195.09955456944587,Dissolved Oxygen,umol/kg,dissolved_o2
2023,195.76961080768277,Dissolved Oxygen,umol/kg,dissolved_o2
2024,195.1260391454228,Dissolved Oxygen,umol/kg,dissolved_o2
