year,value,indicator,unit,code
2000,-0.19827846989126144,Drought Severity (PDSI),index,drought_severity
2001,-0.5306780227207429,Drought Severity (PDSI),index,drought_severity
2002,-0.3277923495379005,Drought Severity (PDSI),index,drought_severity
2003,-0.5646179586814997,Drought Severity (PDSI),index,drought_severity
2004,-0.07159696797272619,Drought Severity (PDSI),index,drought_severity
2005,-0.29803658213147316,Drought Severity (PDSI),index,drought_severity
2006,-0.7376300690355448,Drought Severity (PDSI),index,drought_severity
2007,-0.2495128389311383,Drought Severity (PDSI),index,drought_severity
2008,-0.6036469026016812,Drought Severity (PDSI),index,drought_severity
2009,-0.9649662767017245,Drought Severity (PDSI),index,drought_severity
2010,-1.4998811429747145,Drought Severity (PDSI),index,drought_severity
2011,-0.6418114854818517,Drought Severity (PDSI),index,drought_severity
2012,-1.4779144933527193,Drought Severity (PDSI),index,drought_severity
2013,-1.6290797493913785,Drought Severity (PDSI),index,drought_severity
2014,-1.195485913598072,Drought Severity (PDSI),index,drought_severity
2015,-1.0120495187321454,Drought Severity (PDSI),index,drought_severity
2016,-1.3231454362978965,Drought Severity (PDSI),index,drought_severity
2017,-1.5872181759895283,Drought Severity (PDSI),index,drought_severity
2018,-1.681049131666943,Drought Severity (PDSI),index,drought_severity
2019,-1.7293168882439387,Drought Severity (PDSI),index,drought_severity
2020,-1.848214282042647,Drought Severity (PDSI),index,drought_severity
2021,-2.043761715206125,Drought Severity (PDSI),index,drought_severity
2022,-2.179159779209625,Drought Severity (PDSI),index,drought_severity
2023,-2.3125186255799046,Drought Severity (PDSI),index,drought_severity
2024,-2.5507929177733355,Drought Severity (PDSI),index,drought_severity
