year,value,indicator,unit,code
2000,4.531954789576256,Dust Storm Frequency,events/year,dust_storms
2001,4.479207824967992,Dust Storm Frequency,events/year,dust_storms
2002,5.616585091281916,Dust Storm Frequency,events/year,dust_storms
2003,5.903662064121058,Dust Storm Frequency,events/year,dust_storms
2004,5.569395839709312,Dust Storm Frequency,events/year,dust_storms
2005,4.963583083142036,Dust Storm Frequency,events/year,dust_storms
2006,5.981502220699007,Dust Storm Frequency,events/year,dust_storms
2007,6.556721602161019,Dust Storm Frequency,events/year,dust_storms
2008,6.008435372490348,Dust Storm Frequency,events/year,dust_storms
2009,6.873343967911662,Dust Storm Frequency,events/year,dust_storms
2010,6.993876060330802,Dust Storm Frequency,events/year,dust_storms
2011,7.431716599840436,Dust Storm Frequency,events/year,dust_storms
2012,7.447832147365662,Dust Storm Frequency,events/year,dust_storms
2013,7.210772423647377,Dust Storm Frequency,events/year,dust_storms
2014,8.278628600665797,Dust Storm Frequency,events/year,dust_storms
2015,7.936588170789212,Dust Storm Frequency,events/year,dust_storms
2016,8.189078184196026,Dust Storm Frequency,events/year,dust_storms
2017,8.026692816370723,Dust Storm Frequency,events/year,dust_storms
2018,8.422687099523396,Dust Storm Frequency,events/year,dust_storms
2019,8.44607891438924,Dust Storm Frequency,events/year,dust_storms
2020,8.930821576030631,Dust Storm Frequency,events/year,dust_storms
2021,9.884683392056937,Dust Storm Frequency,events/year,dust_storms
2022,8.851239542827457,Dust Storm Frequency,events/year,dust_storms
2023,8.954575440849306,Dust Storm Frequency,events/year,dust_storms
2024,10.388468130997444,Dust Storm Frequency,events/year,dust_storms
