year,value,indicator,unit,code
2000,84.74214362463093,Electricity Access Rate,%,elect_access
2001,86.37372681666041,Electricity Access Rate,%,elect_access
2002,87.01705284153796,Electricity Access Rate,%,elect_access
2003,86.99864871851837,Electricity Access Rate,%,elect_access
2004,86.25470374982555,Electricity Access Rate,%,elect_access
2005,87.32298407226929,Electricity Access Rate,%,elect_access
2006,87.38064351488727,Electricity Access Rate,%,elect_access
2007,87.07703851141589,Electricity Access Rate,%,elect_access
2008,88.45948742537729,Electricity Access Rate,%,elect_access
2009,87.65676816707216,Electricity Access Rate,%,elect_access
2010,89.95014351076925,Electricity Access Rate,%,elect_access
2011,89.02830616216129,Electricity Access Rate,%,elect_access
2012,89.96092772469827,Electricity Access Rate,%,elect_access
2013,90.42663029723691,Electricity Access Rate,%,elect_access
2014,90.39287602103673,Electricity Access Rate,%,elect_access
2015,91.46935504118022,Electricity Access Rate,%,elect_access
2016,91.02007707470199,Electricity Access Rate,%,elect_access
2017,92.49703783796579,Electricity Access Rate,%,elect_access
2018,91.1232162558026,Electricity Access Rate,%,elect_access
2019,92.70110366363713,Electricity Access Rate,%,elect_access
2020,94.55114319924662,Electricity Access Rate,%,elect_access
2021,92.59973494031554,Electricity Access Rate,%,elect_access
2022,93.25780402358012,Electricity Access Rate,%,elect_access
2023,94.61112627972713,Electricity Access Rate,%,elect_access
2024,94.74366542555167,Electricity Access Rate,%,elect_access
