year,value,indicator,unit,code
2000,202.59312173537543,Cooling Degree Days,days,energy_cooling
2001,201.51620740556888,Cooling Degree Days,days,energy_cooling
2002,205.67812977562812,Cooling Degree Days,days,energy_cooling
2003,202.4500312887916,Cooling Degree Days,days,energy_cooling
2004,206.25016679870635,Cooling Degree Days,days,energy_cooling
2005,212.88952543131109,Cooling Degree Days,days,energy_cooling
2006,210.50866739163294,Cooling Degree Days,days,energy_cooling
2007,220.90785540493363,Cooling Degree Days,days,energy_cooling
2008,214.40145525754158,Cooling Degree Days,days,energy_cooling
2009,218.89873890300754,Cooling Degree Days,days,energy_cooling
2010,223.73036332749237,Cooling Degree Days,days,energy_cooling
2011,216.32653706826787,Cooling Degree Days,days,energy_cooling
2012,216.9567647520769,Cooling Degree Days,days,energy_cooling
2013,219.89737474171963,Cooling Degree Days,days,energy_cooling
2014,233.05033641370872,Cooling Degree Days,days,energy_cooling
2015,227.79256741643022,Cooling Degree Days,days,energy_cooling
2016,242.232797142673,Cooling Degree Days,days,energy_cooling
2017,231.74300960537045,Cooling Degree Days,days,energy_cooling
2018,236.73820521278816,Cooling Degree Days,days,energy_cooling
2019,244.1684398102715,Cooling Degree Days,days,energy_cooling
2020,248.0243715526365,Cooling Degree Days,days,energy_cooling
2021,250.2460143065456,Cooling Degree Days,days,energy_cooling
2022,248.83346492237257,Cooling Degree Days,days,energy_cooling
2023,250.09625010324584,Cooling Degree Days,days,energy_cooling
2024,250.37010779680475,Cooling Degree Days,days,energy_cooling
