year,value,indicator,unit,code
2000,101.39568381078996,Energy Efficiency Index,index,energy_eff
2001,99.9378319734217,Energy Efficiency Index,index,energy_eff
2002,100.79077812625547,Energy Efficiency Index,index,energy_eff
2003,99.81656180777905,Energy Efficiency Index,index,energy_eff
2004,101.19412993350382,Energy Efficiency Index,index,energy_eff
2005,103.46485163309745,Energy Efficiency Index,index,energy_eff
2006,104.61558282354824,Energy Efficiency Index,index,energy_eff
2007,102.26565112812008,Energy Efficiency Index,index,energy_eff
2008,103.40753574084711,Energy Efficiency Index,index,energy_eff
2009,104.47359424304108,Energy Efficiency Index,index,energy_eff
2010,105.28016115881961,Energy Efficiency Index,index,energy_eff
2011,104.69039648007835,Energy Efficiency Index,index,energy_eff
2012,106.4240610444641,Energy Efficiency Index,index,energy_eff
2013,106.02616065292908,Energy Efficiency Index,index,energy_eff
2014,106.98554772912172,Energy Efficiency Index,index,energy_eff
2015,108.0462842480037,Energy Efficiency Index,index,energy_eff
2016,108.00642226981094,Energy Efficiency Index,index,energy_eff
2017,108.06361410947343,Energy Efficiency Index,index,energy_eff
2018,108.89039019607416,Energy Efficiency Index,index,energy_eff
2019,109.41163704079466,Energy Efficiency Index,index,energy_eff
2020,109.62998897011788,Energy Efficiency Index,index,energy_eff
2021,110.2412039373329,Energy Efficiency Index,index,energy_eff
2022,112.59864717050472,Energy Efficiency Index,index,energy_eff
2023,112.06091944794125,Energy Efficiency Index,index,energy_eff
2024,111.70451968197084,Energy Efficiency Index,index,energy_eff
