year,value,indicator,unit,code
2000,17.18847646070084,Corporate ESG Reporting Rate,%,esg_reporting
2001,12.27674873876462,Corporate ESG Reporting Rate,%,esg_reporting
2002,23.45728677867549,Corporate ESG Reporting Rate,%,esg_reporting
2003,23.861525261764974,Corporate ESG Reporting Rate,%,esg_reporting
2004,25.87274290283174,Corporate ESG Reporting Rate,%,esg_reporting
2005,26.75390295523891,Corporate ESG Reporting Rate,%,esg_reporting
2006,27.07846663077596,Corporate ESG Reporting Rate,%,esg_reporting
2007,31.69144494386728,Corporate ESG Reporting Rate,%,esg_reporting
2008,33.36725653496551,Corporate ESG Reporting Rate,%,esg_reporting
2009,31.583837156235905,Corporate ESG Reporting Rate,%,esg_reporting
2010,32.7055929084124,Corporate ESG Reporting Rate,%,esg_reporting
2011,37.40742518104795,Corporate ESG Reporting Rate,%,esg_reporting
2012,45.19608060598075,Corporate ESG Reporting Rate,%,esg_reporting
2013,36.043571697384394,Corporate ESG Reporting Rate,%,esg_reporting
2014,37.12989893699024,Corporate ESG Reporting Rate,%,esg_reporting
2015,45.659043364946065,Corporate ESG Reporting Rate,%,esg_reporting
2016,47.20355080742407,Corporate ESG Reporting Rate,%,esg_reporting
2017,49.69336665748163,Corporate ESG Reporting Rate,%,esg_reporting
2018,51.975812791634,Corporate ESG Reporting Rate,%,esg_reporting
2019,52.10719098146078,Corporate ESG Reporting Rate,%,esg_reporting
2020,60.95945375440833,Corporate ESG Reporting Rate,%,esg_reporting
2021,50.596384086093934,Corporate ESG Reporting Rate,%,esg_reporting
2022,55.686011900879016,Corporate ESG Reporting Rate,%,esg_reporting
2023,60.58698095940381,Corporate ESG Reporting Rate,%,esg_reporting
2024,56.42724475538333,Corporate ESG Reporting Rate,%,esg_reporting
