year,value,indicator,unit,code
2000,-3.32517166879878,EV Market Share,%,ev_market_share
2001,2.8846005112494524,EV Market Share,%,ev_market_share
2002,1.553478906996122,EV Market Share,%,ev_market_share
2003,0.4709873650296692,EV Market Share,%,ev_market_share
2004,5.0179241592399695,EV Market Share,%,ev_market_share
2005,7.197853672260733,EV Market Share,%,ev_market_share
2006,5.580082376595694,EV Market Share,%,ev_market_share
2007,8.124599275524703,EV Market Share,%,ev_market_share
2008,9.979645212781833,EV Market Share,%,ev_market_share
2009,10.303863125734475,EV Market Share,%,ev_market_share
2010,11.623943246994228,EV Market Share,%,ev_market_share
2011,10.987403985715028,EV Market Share,%,ev_market_share
2012,10.72069382224255,EV Market Share,%,ev_market_share
2013,8.83685470096453,EV Market Share,%,ev_market_share
2014,11.806300018992083,EV Market Share,%,ev_market_share
2015,11.650805447494093,EV Market Share,%,ev_market_share
2016,17.273508347996504,EV Market Share,%,ev_market_share
2017,14.318582700108262,EV Market Share,%,ev_market_share
2018,15.597127690855178,EV Market Share,%,ev_market_share
2019,17.082376601664752,EV Market Share,%,ev_market_share
2020,17.069763914195924,EV Market Share,%,ev_market_share
2021,20.512081664689205,EV Market Share,%,ev_market_share
2022,17.603761021224877,EV Market Share,%,ev_market_share
2023,19.71137192837959,EV Market Share,%,ev_market_share
2024,19.012047062883127,EV Market Share,%,ev_market_share
