year,value,indicator,unit,code
2000,496.5609638209439,Evapotranspiration,mm/year,evapotranspiration
2001,502.4079063957171,Evapotranspiration,mm/year,evapotranspiration
2002,500.7371724499419,Evapotranspiration,mm/year,evapotranspiration
2003,504.30758496022105,Evapotranspiration,mm/year,evapotranspiration
2004,506.9862872309104,Evapotranspiration,mm/year,evapotranspiration
2005,508.4640716463508,Evapotranspiration,mm/year,evapotranspiration
2006,510.26576226270583,Evapotranspiration,mm/year,evapotranspiration
2007,515.341133807176,Evapotranspiration,mm/year,evapotranspiration
2008,513.3606029045419,Evapotranspiration,mm/year,evapotranspiration
2009,512.767530094128,Evapotranspiration,mm/year,evapotranspiration
2010,517.892261504865,Evapotranspiration,mm/year,evapotranspiration
2011,520.0684114667739,Evapotranspiration,mm/year,evapotranspiration
2012,514.317176554589,Evapotranspiration,mm/year,evapotranspiration
2013,521.2922002095496,Evapotranspiration,mm/year,evapotranspiration
2014,523.1035182269327,Evapotranspiration,mm/year,evapotranspiration
2015,521.60730948992,Evapotranspiration,mm/year,evapotranspiration
2016,528.1271204399349,Evapotranspiration,mm/year,evapotranspiration
2017,525.0498332389025,Evapotranspiration,mm/year,evapotranspiration
2018,527.3767293604146,Evapotranspiration,mm/year,evapotranspiration
2019,527.9807845271484,Evapotranspiration,mm/year,evapotranspiration
2020,530.0467371427444,Evapotranspiration,mm/year,evapotranspiration
2021,528.2111747393144,Evapotranspiration,mm/year,evapotranspiration
2022,528.6798473522172,Evapotranspiration,mm/year,evapotranspiration
2023,539.283515189675,Evapotranspiration,mm/year,evapotranspiration
2024,533.459115955045,Evapotranspiration,mm/year,evapotranspiration
