year,value,indicator,unit,code
2000,0.9816761616903752,Species Extinction Rate,index,extinction_rate
2001,0.9933635558353912,Species Extinction Rate,index,extinction_rate
2002,1.018656434199013,Species Extinction Rate,index,extinction_rate
2003,1.015684800217785,Species Extinction Rate,index,extinction_rate
2004,1.0536410413142525,Species Extinction Rate,index,extinction_rate
2005,1.0797449231067187,Species Extinction Rate,index,extinction_rate
2006,1.0483989351725993,Species Extinction Rate,index,extinction_rate
2007,1.0747880900107076,Species Extinction Rate,index,extinction_rate
2008,1.0899937022060588,Species Extinction Rate,index,extinction_rate
2009,1.0994400454183855,Species Extinction Rate,index,extinction_rate
2010,1.1015191053583218,Species Extinction Rate,index,extinction_rate
2011,1.1248536483671945,Species Extinction Rate,index,extinction_rate
2012,1.1296449790536132,Species Extinction Rate,index,extinction_rate
2013,1.1052467515534539,Species Extinction Rate,index,extinction_rate
2014,1.1573831212877856,Species Extinction Rate,index,extinction_rate
2015,1.1677458167453347,Species Extinction Rate,index,extinction_rate
2016,1.1447342779164282,Species Extinction Rate,index,extinction_rate
2017,1.170758756708952,Species Extinction Rate,index,extinction_rate
2018,1.1936665798562214,Species Extinction Rate,index,extinction_rate
2019,1.1858137236084128,Species Extinction Rate,index,extinction_rate
2020,1.2214595609553203,Species Extinction Rate,index,extinction_rate
2021,1.257277449892387,Species Extinction Rate,index,extinction_rate
2022,1.2042802793473004,Species Extinction Rate,index,extinction_rate
2023,1.2023791079369244,Species Extinction Rate,index,extinction_rate
2024,1.2460763719120975,Species Extinction Rate,index,extinction_rate
