year,value,indicator,unit,code
2000,14.550919877013161,Flood Frequency,events/year,flood_freq
2001,13.091269097287384,Flood Frequency,events/year,flood_freq
2002,16.4426565971284,Flood Frequency,events/year,flood_freq
2003,15.81825422855853,Flood Frequency,events/year,flood_freq
2004,16.434257092454764,Flood Frequency,events/year,flood_freq
2005,19.287830641845567,Flood Frequency,events/year,flood_freq
2006,22.02720365815136,Flood Frequency,events/year,flood_freq
2007,22.069306569603704,Flood Frequency,events/year,flood_freq
2008,18.887199034202915,Flood Frequency,events/year,flood_freq
2009,20.61659498148746,Flood Frequency,events/year,flood_freq
2010,24.505233900781146,Flood Frequency,events/year,flood_freq
2011,22.228020170338706,Flood Frequency,events/year,flood_freq
2012,24.240586960004762,Flood Frequency,events/year,flood_freq
2013,26.28008335843928,Flood Frequency,events/year,flood_freq
2014,24.650648872218188,Flood Frequency,events/year,flood_freq
2015,27.168600809833535,Flood Frequency,events/year,flood_freq
2016,25.665559208130873,Flood Frequency,events/year,flood_freq
2017,27.63781176967806,Flood Frequency,events/year,flood_freq
2018,29.91165109462806,Flood Frequency,events/year,flood_freq
2019,27.651210026349332,Flood Frequency,events/year,flood_freq
2020,31.70475958073664,Flood Frequency,events/year,flood_freq
2021,31.76857952171731,Flood Frequency,events/year,flood_freq
2022,33.483983927067435,Flood Frequency,events/year,flood_freq
2023,33.758262614503465,Flood Frequency,events/year,flood_freq
2024,36.382624687958156,Flood Frequency,events/year,flood_freq
