year,value,indicator,unit,code
2000,510.85982116175035,Fossil Fuel Subsidies,Billion USD,fossil_subsidies
2001,489.6403655488595,Fossil Fuel Subsidies,Billion USD,fossil_subsidies
2002,498.08057798281146,Fossil Fuel Subsidies,Billion USD,fossil_subsidies
2003,488.6728731340134,Fossil Fuel Subsidies,Billion USD,fossil_subsidies
2004,498.3818367679512,Fossil Fuel Subsidies,Billion USD,fossil_subsidies
2005,472.7653401762815,Fossil Fuel Subsidies,Billion USD,fossil_subsidies
2006,466.506832038818,Fossil Fuel Subsidies,Billion USD,fossil_subsidies
2007,464.8058039411227,Fossil Fuel Subsidies,Billion USD,fossil_subsidies
2008,456.96820217165725,Fossil Fuel Subsidies,Billion USD,fossil_subsidies
2009,462.9994190194205,Fossil Fuel Subsidies,Billion USD,fossil_subsidies
2010,433.8368939156341,Fossil Fuel Subsidies,Billion USD,fossil_subsidies
2011,434.46317580853645,Fossil Fuel Subsidies,Billion USD,fossil_subsidies
2012,429.3219707842081,Fossil Fuel Subsidies,Billion USD,fossil_subsidies
2013,444.50307591973575,Fossil Fuel Subsidies,Billion USD,fossil_subsidies
2014,447.10613372581923,Fossil Fuel Subsidies,Billion USD,fossil_subsidies
2015,423.95550781462526,Fossil Fuel Subsidies,Billion USD,fossil_subsidies
2016,418.3117827680999,Fossil Fuel Subsidies,Billion USD,fossil_subsidies
2017,415.70052163113183,Fossil Fuel Subsidies,Billion USD,fossil_subsidies
2018,421.6187830260819,Fossil Fuel Subsidies,Billion USD,fossil_subsidies
2019,395.72646865809423,Fossil Fuel Subsidies,Billion USD,fossil_subsidies
2020,402.38368982734784,Fossil Fuel Subsidies,Billion USD,fossil_subsidies
2021,404.7519762978243,Fossil Fuel Subsidies,Billion USD,fossil_subsidies
2022,395.0109416993985,Fossil Fuel Subsidies,Billion USD,fossil_subsidies
2023,386.8958161659874,Fossil Fuel Subsidies,Billion USD,fossil_subsidies
2024,390.0104609256714,Fossil Fuel Subsidies,Billion USD,fossil_subsidies
