year,value,indicator,unit,code
2000,0.9972992869001025,Fugitive Emissions,GtCO2,fugitive_emis
2001,1.001421925317138,Fugitive Emissions,GtCO2,fugitive_emis
2002,1.000830320316,Fugitive Emissions,GtCO2,fugitive_emis
2003,1.004768153881444,Fugitive Emissions,GtCO2,fugitive_emis
2004,1.0004255413321848,Fugitive Emissions,GtCO2,fugitive_emis
2005,1.0108531748294918,Fugitive Emissions,GtCO2,fugitive_emis
2006,1.0120048219014488,Fugitive Emissions,GtCO2,fugitive_emis
2007,1.0107316454757274,Fugitive Emissions,GtCO2,fugitive_emis
2008,1.0186369826737296,Fugitive Emissions,GtCO2,fugitive_emis
2009,1.0217502805505063,Fugitive Emissions,GtCO2,fugitive_emis
2010,1.013569760542524,Fugitive Emissions,GtCO2,fugitive_emis
2011,1.0189491008857352,Fugitive Emissions,GtCO2,fugitive_emis
2012,1.0209234306008508,Fugitive Emissions,GtCO2,fugitive_emis
2013,1.0222403875955646,Fugitive Emissions,GtCO2,fugitive_emis
2014,1.031317899367727,Fugitive Emissions,GtCO2,fugitive_emis
2015,1.029224695444909,Fugitive Emissions,GtCO2,fugitive_emis
2016,1.0309419406347575,Fugitive Emissions,GtCO2,fugitive_emis
2017,1.025984550542373,Fugitive Emissions,GtCO2,fugitive_emis
2018,1.038541672120837,Fugitive Emissions,GtCO2,fugitive_emis
2019,1.0330429664205862,Fugitive Emissions,GtCO2,fugitive_emis
2020,1.0402397305210653,Fugitive Emissions,GtCO2,fugitive_emis
2021,1.0431095077518329,Fugitive Emissions,GtCO2,fugitive_emis
2022,1.0494426343833547,Fugitive Emissions,GtCO2,fugitive_emis
2023,1.0407647184035236,Fugitive Emissions,GtCO2,fugitive_emis
2024,1.0359219513767168,Fugitive Emissions,GtCO2,fugitive_emis
