year,value,indicator,unit,code
2000,130.34777990392814,Gas Consumption,EJ,gas_cons
2001,130.49547778994932,Gas Consumption,EJ,gas_cons
2002,130.7166305809464,Gas Consumption,EJ,gas_cons
2003,130.6881002243136,Gas Consumption,EJ,gas_cons
2004,131.403090306077,Gas Consumption,EJ,gas_cons
2005,131.3227591539166,Gas Consumption,EJ,gas_cons
2006,131.90107658576179,Gas Consumption,EJ,gas_cons
2007,132.89055852136477,Gas Consumption,EJ,gas_cons
2008,131.79607446083222,Gas Consumption,EJ,gas_cons
2009,133.3839271366774,Gas Consumption,EJ,gas_cons
2010,133.79026904040393,Gas Consumption,EJ,gas_cons
2011,133.22915888380535,Gas Consumption,EJ,gas_cons
2012,132.32688706059483,Gas Consumption,EJ,gas_cons
2013,133.53530680774335,Gas Consumption,EJ,gas_cons
2014,134.97819672793665,Gas Consumption,EJ,gas_cons
2015,134.48627916262066,Gas Consumption,EJ,gas_cons
2016,134.20041866062306,Gas Consumption,EJ,gas_cons
2017,134.79713504726305,Gas Consumption,EJ,gas_cons
2018,135.90437201590274,Gas Consumption,EJ,gas_cons
2019,136.0280401409208,Gas Consumption,EJ,gas_cons
2020,135.8566407404982,Gas Consumption,EJ,gas_cons
2021,136.0799053529112,Gas Consumption,EJ,gas_cons
2022,136.3649451105737,Gas Consumption,EJ,gas_cons
2023,136.3465538893009,Gas Consumption,EJ,gas_cons
2024,138.16922541368166,Gas Consumption,EJ,gas_cons
