year,value,indicator,unit,code
2000,4.916270529139253,GDP Exposure to Climate Risk,%,gdp_climate_risk
2001,4.932370904536033,GDP Exposure to Climate Risk,%,gdp_climate_risk
2002,5.815961874958431,GDP Exposure to Climate Risk,%,gdp_climate_risk
2003,5.357753784105254,GDP Exposure to Climate Risk,%,gdp_climate_risk
2004,6.5304038854187745,GDP Exposure to Climate Risk,%,gdp_climate_risk
2005,6.2711703485357075,GDP Exposure to Climate Risk,%,gdp_climate_risk
2006,6.004835436741719,GDP Exposure to Climate Risk,%,gdp_climate_risk
2007,7.262923285306202,GDP Exposure to Climate Risk,%,gdp_climate_risk
2008,6.357714030798665,GDP Exposure to Climate Risk,%,gdp_climate_risk
2009,7.096838148803722,GDP Exposure to Climate Risk,%,gdp_climate_risk
2010,7.119717032162597,GDP Exposure to Climate Risk,%,gdp_climate_risk
2011,7.72069651575952,GDP Exposure to Climate Risk,%,gdp_climate_risk
2012,8.024604478690742,GDP Exposure to Climate Risk,%,gdp_climate_risk
2013,7.612801659626307,GDP Exposure to Climate Risk,%,gdp_climate_risk
2014,7.498632851861528,GDP Exposure to Climate Risk,%,gdp_climate_risk
2015,8.183988857175647,GDP Exposure to Climate Risk,%,gdp_climate_risk
2016,7.928913852099157,GDP Exposure to Climate Risk,%,gdp_climate_risk
2017,9.205354899010649,GDP Exposure to Climate Risk,%,gdp_climate_risk
2018,8.654614132433094,GDP Exposure to Climate Risk,%,gdp_climate_risk
2019,8.653871379475158,GDP Exposure to Climate Risk,%,gdp_climate_risk
2020,9.073872122345964,GDP Exposure to Climate Risk,%,gdp_climate_risk
2021,8.66114948418812,GDP Exposure to Climate Risk,%,gdp_climate_risk
2022,9.01135438459574,GDP Exposure to Climate Risk,%,gdp_climate_risk
2023,10.080165563177772,GDP Exposure to Climate Risk,%,gdp_climate_risk
2024,9.537242288411443,GDP Exposure to Climate Risk,%,gdp_climate_risk
