year,value,indicator,unit,code
2000,1.744061372541241,Glacier Mass Balance,m w.e.,glacier_mass
2001,1.295486574876855,Glacier Mass Balance,m w.e.,glacier_mass
2002,-1.8274320325839217,Glacier Mass Balance,m w.e.,glacier_mass
2003,-2.3042241805150283,Glacier Mass Balance,m w.e.,glacier_mass
2004,-2.7381415306326087,Glacier Mass Balance,m w.e.,glacier_mass
2005,-4.6133406132411325,Glacier Mass Balance,m w.e.,glacier_mass
2006,-4.702382335781038,Glacier Mass Balance,m w.e.,glacier_mass
2007,-5.4049689201024815,Glacier Mass Balance,m w.e.,glacier_mass
2008,-5.721357078124954,Glacier Mass Balance,m w.e.,glacier_mass
2009,-5.441621864864137,Glacier Mass Balance,m w.e.,glacier_mass
2010,-5.718942320956175,Glacier Mass Balance,m w.e.,glacier_mass
2011,-4.7393994086231075,Glacier Mass Balance,m w.e.,glacier_mass
2012,-8.398024848886548,Glacier Mass Balance,m w.e.,glacier_mass
2013,-6.618813121828099,Glacier Mass Balance,m w.e.,glacier_mass
2014,-8.656786613070611,Glacier Mass Balance,m w.e.,glacier_mass
2015,-9.05935645158292,Glacier Mass Balance,m w.e.,glacier_mass
2016,-8.790216609400074,Glacier Mass Balance,m w.e.,glacier_mass
2017,-11.547266425874758,Glacier Mass Balance,m w.e.,glacier_mass
2018,-10.341108304579139,Glacier Mass Balance,m w.e.,glacier_mass
2019,-11.200257350144334,Glacier Mass Balance,m w.e.,glacier_mass
2020,-11.409058483190222,Glacier Mass Balance,m w.e.,glacier_mass
2021,-12.252997627310618,Glacier Mass Balance,m w.e.,glacier_mass
2022,-10.253639832106927,Glacier Mass Balance,m w.e.,glacier_mass
2023,-14.565287981101578,Glacier Mass Balance,m w.e.,glacier_mass
2024,-15.03719634600218,Glacier Mass Balance,m w.e.,glacier_mass
