year,value,indicator,unit,code
2000,82.66245859112558,Green Bonds Issued,Billion USD,green_bonds
2001,121.53758917803827,Green Bonds Issued,Billion USD,green_bonds
2002,126.29730584816568,Green Bonds Issued,Billion USD,green_bonds
2003,80.33451734641177,Green Bonds Issued,Billion USD,green_bonds
2004,76.41147700132967,Green Bonds Issued,Billion USD,green_bonds
2005,129.22658740733613,Green Bonds Issued,Billion USD,green_bonds
2006,86.94681903311445,Green Bonds Issued,Billion USD,green_bonds
2007,164.69503142554345,Green Bonds Issued,Billion USD,green_bonds
2008,165.57192241103994,Green Bonds Issued,Billion USD,green_bonds
2009,171.01890494395272,Green Bonds Issued,Billion USD,green_bonds
2010,152.15890798199615,Green Bonds Issued,Billion USD,green_bonds
2011,230.4080031970915,Green Bonds Issued,Billion USD,green_bonds
2012,214.01897481014265,Green Bonds Issued,Billion USD,green_bonds
2013,209.90249492869137,Green Bonds Issued,Billion USD,green_bonds
2014,173.83213360155054,Green Bonds Issued,Billion USD,green_bonds
2015,274.1745528484809,Green Bonds Issued,Billion USD,green_bonds
2016,343.1675479000923,Green Bonds Issued,Billion USD,green_bonds
2017,354.8377764364361,Green Bonds Issued,Billion USD,green_bonds
2018,306.28711230241186,Green Bonds Issued,Billion USD,green_bonds
2019,316.93363818914656,Green Bonds Issued,Billion USD,green_bonds
2020,364.0632276822507,Green Bonds Issued,Billion USD,green_bonds
2021,335.04843682435126,Green Bonds Issued,Billion USD,green_bonds
2022,389.053756994584,Green Bonds Issued,Billion USD,green_bonds
2023,417.9824083515407,Green Bonds Issued,Billion USD,green_bonds
2024,446.8079967165292,Green Bonds Issued,Billion USD,green_bonds
