year,value,indicator,unit,code
2000,20.417907744338955,Green Space Ratio,%,green_space
2001,19.578467794576387,Green Space Ratio,%,green_space
2002,19.836948115779144,Green Space Ratio,%,green_space
2003,20.104721243845926,Green Space Ratio,%,green_space
2004,19.601359968912,Green Space Ratio,%,green_space
2005,19.461992192999702,Green Space Ratio,%,green_space
2006,19.328510915437914,Green Space Ratio,%,green_space
2007,19.26392166364752,Green Space Ratio,%,green_space
2008,19.474569694935305,Green Space Ratio,%,green_space
2009,18.6576276177341,Green Space Ratio,%,green_space
2010,19.306686740259266,Green Space Ratio,%,green_space
2011,18.61520856950997,Green Space Ratio,%,green_space
2012,18.746669534153117,Green Space Ratio,%,green_space
2013,18.614151115940267,Green Space Ratio,%,green_space
2014,18.717710653954146,Green Space Ratio,%,green_space
2015,18.18037512962325,Green Space Ratio,%,green_space
2016,18.492434533216386,Green Space Ratio,%,green_space
2017,18.704861924657372,Green Space Ratio,%,green_space
2018,17.927365199081436,Green Space Ratio,%,green_space
2019,18.13794123352208,Green Space Ratio,%,green_space
2020,17.867603564440678,Green Space Ratio,%,green_space
2021,17.985177441238605,Green Space Ratio,%,green_space
2022,17.80382955548315,Green Space Ratio,%,green_space
2023,17.571702618191136,Green Space Ratio,%,green_space
2024,17.697574456974216,Green Space Ratio,%,green_space
