year,value,indicator,unit,code
2000,3.992040439438609,Groundwater Depletion,km3,groundwater_dep
2001,-9.585021512774757,Groundwater Depletion,km3,groundwater_dep
2002,12.35349881912291,Groundwater Depletion,km3,groundwater_dep
2003,5.441641487379305,Groundwater Depletion,km3,groundwater_dep
2004,12.432731266950066,Groundwater Depletion,km3,groundwater_dep
2005,5.8403762914978765,Groundwater Depletion,km3,groundwater_dep
2006,14.451095620250278,Groundwater Depletion,km3,groundwater_dep
2007,9.786337747305375,Groundwater Depletion,km3,groundwater_dep
2008,13.504924157216779,Groundwater Depletion,km3,groundwater_dep
2009,25.656125415467145,Groundwater Depletion,km3,groundwater_dep
2010,19.237270396946613,Groundwater Depletion,km3,groundwater_dep
2011,22.86973149271889,Groundwater Depletion,km3,groundwater_dep
2012,27.480270922755018,Groundwater Depletion,km3,groundwater_dep
2013,27.98272755189042,Groundwater Depletion,km3,groundwater_dep
2014,28.601675620574305,Groundwater Depletion,km3,groundwater_dep
2015,31.459844009864902,Groundwater Depletion,km3,groundwater_dep
2016,41.6136623409531,Groundwater Depletion,km3,groundwater_dep
2017,33.76952481186566,Groundwater Depletion,km3,groundwater_dep
2018,36.80439618685987,Groundwater Depletion,km3,groundwater_dep
2019,42.20261758403045,Groundwater Depletion,km3,groundwater_dep
2020,44.42210373183194,Groundwater Depletion,km3,groundwater_dep
2021,46.74812122224152,Groundwater Depletion,km3,groundwater_dep
2022,46.55492088811674,Groundwater Depletion,km3,groundwater_dep
2023,41.42798034907807,Groundwater Depletion,km3,groundwater_dep
2024,54.53372612920438,Groundwater Depletion,km3,groundwater_dep
