year,value,indicator,unit,code
2000,3.5438091125161995,Stratospheric Water Vapor,ppmv,h2o_strat
2001,3.490189273497386,Stratospheric Water Vapor,ppmv,h2o_strat
2002,3.5086740454079446,Stratospheric Water Vapor,ppmv,h2o_strat
2003,3.531993027301753,Stratospheric Water Vapor,ppmv,h2o_strat
2004,3.529930486917676,Stratospheric Water Vapor,ppmv,h2o_strat
2005,3.518986731378677,Stratospheric Water Vapor,ppmv,h2o_strat
2006,3.5613712594961204,Stratospheric Water Vapor,ppmv,h2o_strat
2007,3.5487539257254777,Stratospheric Water Vapor,ppmv,h2o_strat
2008,3.5894718486127037,Stratospheric Water Vapor,ppmv,h2o_strat
2009,3.5716115153153236,Stratospheric Water Vapor,ppmv,h2o_strat
2010,3.630998688100351,Stratospheric Water Vapor,ppmv,h2o_strat
2011,3.594334934153275,Stratospheric Water Vapor,ppmv,h2o_strat
2012,3.6135587696758864,Stratospheric Water Vapor,ppmv,h2o_strat
2013,3.646270344347393,Stratospheric Water Vapor,ppmv,h2o_strat
2014,3.615382713671321,Stratospheric Water Vapor,ppmv,h2o_strat
2015,3.6545491986920826,Stratospheric Water Vapor,ppmv,h2o_strat
2016,3.6861428550856488,Stratospheric Water Vapor,ppmv,h2o_strat
2017,3.637850335308775,Stratospheric Water Vapor,ppmv,h2o_strat
2018,3.6836926771706464,Stratospheric Water Vapor,ppmv,h2o_strat
2019,3.6951976558849684,Stratospheric Water Vapor,ppmv,h2o_strat
2020,3.7156364574355463,Stratospheric Water Vapor,ppmv,h2o_strat
2021,3.6852609857824383,Stratospheric Water Vapor,ppmv,h2o_strat
2022,3.6935908677383145,Stratospheric Water Vapor,ppmv,h2o_strat
2023,3.740438831312338,Stratospheric Water Vapor,ppmv,h2o_strat
2024,3.745939693464664,Stratospheric Water Vapor,ppmv,h2o_strat
