year,value,indicator,unit,code
2000,9.872450879622466,Heat-related Mortality,per 100k,heat_mortality
2001,12.011154930247347,Heat-related Mortality,per 100k,heat_mortality
2002,9.548824309948442,Heat-related Mortality,per 100k,heat_mortality
2003,11.487911052153946,Heat-related Mortality,per 100k,heat_mortality
2004,10.74760655558688,Heat-related Mortality,per 100k,heat_mortality
2005,12.863631882624968,Heat-related Mortality,per 100k,heat_mortality
2006,13.8868873900973,Heat-related Mortality,per 100k,heat_mortality
2007,13.079238206318946,Heat-related Mortality,per 100k,heat_mortality
2008,11.395786143372867,Heat-related Mortality,per 100k,heat_mortality
2009,14.698948146796495,Heat-related Mortality,per 100k,heat_mortality
2010,15.436738551733509,Heat-related Mortality,per 100k,heat_mortality
2011,15.904294754961697,Heat-related Mortality,per 100k,heat_mortality
2012,17.235782191822153,Heat-related Mortality,per 100k,heat_mortality
2013,15.428946320350951,Heat-related Mortality,per 100k,heat_mortality
2014,17.680216105450448,Heat-related Mortality,per 100k,heat_mortality
2015,18.692507512477974,Heat-related Mortality,per 100k,heat_mortality
2016,16.221412415993484,Heat-related Mortality,per 100k,heat_mortality
2017,18.819651825918978,Heat-related Mortality,per 100k,heat_mortality
2018,18.495820168992328,Heat-related Mortality,per 100k,heat_mortality
2019,19.418477326898355,Heat-related Mortality,per 100k,heat_mortality
2020,20.347676483538336,Heat-related Mortality,per 100k,heat_mortality
2021,20.01277143588645,Heat-related Mortality,per 100k,heat_mortality
2022,20.324291920838387,Heat-related Mortality,per 100k,heat_mortality
2023,21.534152417488023,Heat-related Mortality,per 100k,heat_mortality
2024,20.912754061137196,Heat-related Mortality,per 100k,heat_mortality
