year,value,indicator,unit,code
2000,4.870179300266574,Heatwave Duration,days,heatwave_dur
2001,5.54381147197911,Heatwave Duration,days,heatwave_dur
2002,5.852997998371511,Heatwave Duration,days,heatwave_dur
2003,7.46387911679491,Heatwave Duration,days,heatwave_dur
2004,9.210523001591351,Heatwave Duration,days,heatwave_dur
2005,6.942508214992166,Heatwave Duration,days,heatwave_dur
2006,6.630197020420923,Heatwave Duration,days,heatwave_dur
2007,8.411717951648745,Heatwave Duration,days,heatwave_dur
2008,11.579709337654318,Heatwave Duration,days,heatwave_dur
2009,8.69632543203027,Heatwave Duration,days,heatwave_dur
2010,11.639116805444068,Heatwave Duration,days,heatwave_dur
2011,12.177700814076442,Heatwave Duration,days,heatwave_dur
2012,10.446411758292005,Heatwave Duration,days,heatwave_dur
2013,12.068983079185275,Heatwave Duration,days,heatwave_dur
2014,13.628396623128538,Heatwave Duration,days,heatwave_dur
2015,12.120872259012513,Heatwave Duration,days,heatwave_dur
2016,12.796419639897639,Heatwave Duration,days,heatwave_dur
2017,12.918319086051357,Heatwave Duration,days,heatwave_dur
2018,12.985243269307134,Heatwave Duration,days,heatwave_dur
2019,13.850722454933994,Heatwave Duration,days,heatwave_dur
2020,13.776059733237744,Heatwave Duration,days,heatwave_dur
2021,15.534083468259226,Heatwave Duration,days,heatwave_dur
2022,15.230026768941357,Heatwave Duration,days,heatwave_dur
2023,16.733785911790747,Heatwave Duration,days,heatwave_dur
2024,15.444104353796373,Heatwave Duration,days,heatwave_dur
