year,value,indicator,unit,code
2000,70.10889505969674,Relative Humidity,%,humidity
2001,69.95642800190954,Relative Humidity,%,humidity
2002,69.79222552220708,Relative Humidity,%,humidity
2003,69.778469629074,Relative Humidity,%,humidity
2004,69.86795977489346,Relative Humidity,%,humidity
2005,69.67696333682828,Relative Humidity,%,humidity
2006,69.7216458589582,Relative Humidity,%,humidity
2007,69.65455718399039,Relative Humidity,%,humidity
2008,69.53483996523941,Relative Humidity,%,humidity
2009,69.76439440893253,Relative Humidity,%,humidity
2010,69.5633919022318,Relative Humidity,%,humidity
2011,69.24748574133424,Relative Humidity,%,humidity
2012,69.41864543147695,Relative Humidity,%,humidity
2013,69.28382135352315,Relative Humidity,%,humidity
2014,69.38524333347962,Relative Humidity,%,humidity
2015,69.17074792615674,Relative Humidity,%,humidity
2016,69.18852635585331,Relative Humidity,%,humidity
2017,69.20049872789805,Relative Humidity,%,humidity
2018,69.186575519417,Relative Humidity,%,humidity
2019,68.92997035929442,Relative Humidity,%,humidity
2020,68.96654987641591,Relative Humidity,%,humidity
2021,68.9025054688839,Relative Humidity,%,humidity
2022,68.83466707674263,Relative Humidity,%,humidity
2023,69.0265454240281,Relative Humidity,%,humidity
2024,68.84049817109609,Relative Humidity,%,humidity
