year,value,indicator,unit,code
2000,808.8388129913882,Hydropower Capacity,GW,hydro_cap
2001,788.1920184511431,Hydropower Capacity,GW,hydro_cap
2002,848.2186475949254,Hydropower Capacity,GW,hydro_cap
2003,828.0282373543148,Hydropower Capacity,GW,hydro_cap
2004,840.376992458897,Hydropower Capacity,GW,hydro_cap
2005,864.1642884651311,Hydropower Capacity,GW,hydro_cap
2006,864.6643226252701,Hydropower Capacity,GW,hydro_cap
2007,889.0627326782649,Hydropower Capacity,GW,hydro_cap
2008,885.7424833040365,Hydropower Capacity,GW,hydro_cap
2009,877.7512525071912,Hydropower Capacity,GW,hydro_cap
2010,907.2300705041221,Hydropower Capacity,GW,hydro_cap
2011,887.1254758535867,Hydropower Capacity,GW,hydro_cap
2012,922.1711941155305,Hydropower Capacity,GW,hydro_cap
2013,929.3354001871107,Hydropower Capacity,GW,hydro_cap
2014,935.8376628545492,Hydropower Capacity,GW,hydro_cap
2015,947.4292497712214,Hydropower Capacity,GW,hydro_cap
2016,922.3630190900473,Hydropower Capacity,GW,hydro_cap
2017,959.0255018451808,Hydropower Capacity,GW,hydro_cap
2018,981.8568980228223,Hydropower Capacity,GW,hydro_cap
2019,993.197127839948,Hydropower Capacity,GW,hydro_cap
2020,979.4464971814808,Hydropower Capacity,GW,hydro_cap
2021,1035.314156817294,Hydropower Capacity,GW,hydro_cap
2022,1002.67650303571,Hydropower Capacity,GW,hydro_cap
2023,1049.3891440105347,Hydropower Capacity,GW,hydro_cap
2024,1048.5438872374336,Hydropower Capacity,GW,hydro_cap
