year,value,indicator,unit,code
2000,1.5484992298929263,Green Hydrogen Production,Mt,hydrogen_prod
2001,0.24023135421091424,Green Hydrogen Production,Mt,hydrogen_prod
2002,-0.22604768608203818,Green Hydrogen Production,Mt,hydrogen_prod
2003,1.186534838876724,Green Hydrogen Production,Mt,hydrogen_prod
2004,2.3602805065828862,Green Hydrogen Production,Mt,hydrogen_prod
2005,1.6362410737893893,Green Hydrogen Production,Mt,hydrogen_prod
2006,2.1428490851049573,Green Hydrogen Production,Mt,hydrogen_prod
2007,3.9437878815498855,Green Hydrogen Production,Mt,hydrogen_prod
2008,4.051347648429548,Green Hydrogen Production,Mt,hydrogen_prod
2009,4.632796995411586,Green Hydrogen Production,Mt,hydrogen_prod
2010,4.34150466529993,Green Hydrogen Production,Mt,hydrogen_prod
2011,5.369599285794233,Green Hydrogen Production,Mt,hydrogen_prod
2012,5.175766855731696,Green Hydrogen Production,Mt,hydrogen_prod
2013,7.490198411124786,Green Hydrogen Production,Mt,hydrogen_prod
2014,8.135249334723753,Green Hydrogen Production,Mt,hydrogen_prod
2015,5.753812137761906,Green Hydrogen Production,Mt,hydrogen_prod
2016,7.170489139807589,Green Hydrogen Production,Mt,hydrogen_prod
2017,7.10347074490992,Green Hydrogen Production,Mt,hydrogen_prod
2018,8.449976065593102,Green Hydrogen Production,Mt,hydrogen_prod
2019,9.51656203020964,Green Hydrogen Production,Mt,hydrogen_prod
2020,8.65035478030147,Green Hydrogen Production,Mt,hydrogen_prod
2021,9.678140186874687,Green Hydrogen Production,Mt,hydrogen_prod
2022,10.096042627918502,Green Hydrogen Production,Mt,hydrogen_prod
2023,11.807267329398943,Green Hydrogen Production,Mt,hydrogen_prod
2024,12.16934433703625,Green Hydrogen Production,Mt,hydrogen_prod
