year,value,indicator,unit,code
2000,11.963224616336543,Industrial Emissions,GtCO2,industry_emis
2001,11.918788499090146,Industrial Emissions,GtCO2,industry_emis
2002,12.028559831124795,Industrial Emissions,GtCO2,industry_emis
2003,12.104038385399944,Industrial Emissions,GtCO2,industry_emis
2004,12.158333898168824,Industrial Emissions,GtCO2,industry_emis
2005,12.050818016221903,Industrial Emissions,GtCO2,industry_emis
2006,12.13986796892946,Industrial Emissions,GtCO2,industry_emis
2007,12.121387581728799,Industrial Emissions,GtCO2,industry_emis
2008,12.155762065827835,Industrial Emissions,GtCO2,industry_emis
2009,12.285773733880681,Industrial Emissions,GtCO2,industry_emis
2010,12.139881186864192,Industrial Emissions,GtCO2,industry_emis
2011,12.230149586459783,Industrial Emissions,GtCO2,industry_emis
2012,12.258707726870618,Industrial Emissions,GtCO2,industry_emis
2013,12.303431452997573,Industrial Emissions,GtCO2,industry_emis
2014,12.283919326138836,Industrial Emissions,GtCO2,industry_emis
2015,12.312322021580165,Industrial Emissions,GtCO2,industry_emis
2016,12.304334057303128,Industrial Emissions,GtCO2,industry_emis
2017,12.350765077649804,Industrial Emissions,GtCO2,industry_emis
2018,12.346272308980103,Industrial Emissions,GtCO2,industry_emis
2019,12.404862875594242,Industrial Emissions,GtCO2,industry_emis
2020,12.385215586558255,Industrial Emissions,GtCO2,industry_emis
2021,12.435084015756088,Industrial Emissions,GtCO2,industry_emis
2022,12.438829487452601,Industrial Emissions,GtCO2,industry_emis
2023,12.505042010030888,Industrial Emissions,GtCO2,industry_emis
2024,12.477944251056462,Industrial Emissions,GtCO2,industry_emis
