year,value,indicator,unit,code
2000,39.499229617600236,Insurance Losses (Climate),Billion USD,insurance_losses
2001,41.48163124911517,Insurance Losses (Climate),Billion USD,insurance_losses
2002,40.6100870662172,Insurance Losses (Climate),Billion USD,insurance_losses
2003,43.365598229800696,Insurance Losses (Climate),Billion USD,insurance_losses
2004,48.86760554049236,Insurance Losses (Climate),Billion USD,insurance_losses
2005,54.33682753408089,Insurance Losses (Climate),Billion USD,insurance_losses
2006,59.567923131166246,Insurance Losses (Climate),Billion USD,insurance_losses
2007,53.484105246598276,Insurance Losses (Climate),Billion USD,insurance_losses
2008,67.46344284479761,Insurance Losses (Climate),Billion USD,insurance_losses
2009,61.14438199478715,Insurance Losses (Climate),Billion USD,insurance_losses
2010,64.89316352825782,Insurance Losses (Climate),Billion USD,insurance_losses
2011,63.763941604260886,Insurance Losses (Climate),Billion USD,insurance_losses
2012,57.87879869863529,Insurance Losses (Climate),Billion USD,insurance_losses
2013,76.92022698180524,Insurance Losses (Climate),Billion USD,insurance_losses
2014,78.68421948546217,Insurance Losses (Climate),Billion USD,insurance_losses
2015,76.09336221440893,Insurance Losses (Climate),Billion USD,insurance_losses
2016,80.33495358612436,Insurance Losses (Climate),Billion USD,insurance_losses
2017,85.07969608852049,Insurance Losses (Climate),Billion USD,insurance_losses
2018,77.18727071556728,Insurance Losses (Climate),Billion USD,insurance_losses
2019,84.85473661326853,Insurance Losses (Climate),Billion USD,insurance_losses
2020,93.97132339810913,Insurance Losses (Climate),Billion USD,insurance_losses
2021,86.22855288415376,Insurance Losses (Climate),Billion USD,insurance_losses
2022,96.46778966083315,Insurance Losses (Climate),Billion USD,insurance_losses
2023,90.71709097688297,Insurance Losses (Climate),Billion USD,insurance_losses
2024,102.33214991216764,Insurance Losses (Climate),Billion USD,insurance_losses
