year,value,indicator,unit,code
2000,424.41837076217877,Invasive Species Count,count,invasive_species
2001,501.90774723003693,Invasive Species Count,count,invasive_species
2002,443.04482693484175,Invasive Species Count,count,invasive_species
2003,496.64388706057105,Invasive Species Count,count,invasive_species
2004,610.4165862457719,Invasive Species Count,count,invasive_species
2005,631.4320063460333,Invasive Species Count,count,invasive_species
2006,637.0183024713986,Invasive Species Count,count,invasive_species
2007,601.3209542748315,Invasive Species Count,count,invasive_species
2008,658.0915457543208,Invasive Species Count,count,invasive_species
2009,679.8558984363773,Invasive Species Count,count,invasive_species
2010,653.6654124322982,Invasive Species Count,count,invasive_species
2011,780.1359320706861,Invasive Species Count,count,invasive_species
2012,775.0944916230269,Invasive Species Count,count,invasive_species
2013,751.1614330468135,Invasive Species Count,count,invasive_species
2014,781.0754335597812,Invasive Species Count,count,invasive_species
2015,808.3353123179021,Invasive Species Count,count,invasive_species
2016,738.3306052630284,Invasive Species Count,count,invasive_species
2017,830.1129046991762,Invasive Species Count,count,invasive_species
2018,832.7206300800881,Invasive Species Count,count,invasive_species
2019,839.9351996042034,Invasive Species Count,count,invasive_species
2020,888.7559882845618,Invasive Species Count,count,invasive_species
2021,991.9074610739809,Invasive Species Count,count,invasive_species
2022,965.6337144506804,Invasive Species Count,count,invasive_species
2023,937.1528404086881,Invasive Species Count,count,invasive_species
2024,1002.9033112542463,Invasive Species Count,count,invasive_species
