year,value,indicator,unit,code
2000,99.98024973667354,Lake Levels,m,lake_levels
2001,99.91773672405361,Lake Levels,m,lake_levels
2002,99.94287539356135,Lake Levels,m,lake_levels
2003,100.00003039162537,Lake Levels,m,lake_levels
2004,99.95400886968454,Lake Levels,m,lake_levels
2005,99.88605391462369,Lake Levels,m,lake_levels
2006,99.86602969182726,Lake Levels,m,lake_levels
2007,99.84713459795131,Lake Levels,m,lake_levels
2008,99.92306991934244,Lake Levels,m,lake_levels
2009,99.83527741808926,Lake Levels,m,lake_levels
2010,99.81720166588764,Lake Levels,m,lake_levels
2011,99.82121133816128,Lake Levels,m,lake_levels
2012,99.76955156636106,Lake Levels,m,lake_levels
2013,99.72963831416716,Lake Levels,m,lake_levels
2014,99.7121460060366,Lake Levels,m,lake_levels
2015,99.69713594962344,Lake Levels,m,lake_levels
2016,99.67851111053962,Lake Levels,m,lake_levels
2017,99.68910518174548,Lake Levels,m,lake_levels
2018,99.64207783543229,Lake Levels,m,lake_levels
2019,99.64930560308862,Lake Levels,m,lake_levels
2020,99.59677133679565,Lake Levels,m,lake_levels
2021,99.58314540761265,Lake Levels,m,lake_levels
2022,99.48007197261872,Lake Levels,m,lake_levels
2023,99.5766531069881,Lake Levels,m,lake_levels
2024,99.53385953903592,Lake Levels,m,lake_levels
