year,value,indicator,unit,code
2000,5.07373466177458,Land Cover Change,%,land_cover_change
2001,5.021332237534527,Land Cover Change,%,land_cover_change
2002,5.205748964586964,Land Cover Change,%,land_cover_change
2003,5.555690372521459,Land Cover Change,%,land_cover_change
2004,5.438219813603981,Land Cover Change,%,land_cover_change
2005,5.50928730963123,Land Cover Change,%,land_cover_change
2006,5.328028771804016,Land Cover Change,%,land_cover_change
2007,5.8492507132054445,Land Cover Change,%,land_cover_change
2008,5.929096836228215,Land Cover Change,%,land_cover_change
2009,6.332650944661093,Land Cover Change,%,land_cover_change
2010,5.9384443530094,Land Cover Change,%,land_cover_change
2011,6.1438300655327875,Land Cover Change,%,land_cover_change
2012,6.249876736742151,Land Cover Change,%,land_cover_change
2013,6.615490655952694,Land Cover Change,%,land_cover_change
2014,6.3809408935226095,Land Cover Change,%,land_cover_change
2015,6.5558043051540675,Land Cover Change,%,land_cover_change
2016,6.721579301943308,Land Cover Change,%,land_cover_change
2017,6.737321824631271,Land Cover Change,%,land_cover_change
2018,6.710713277089894,Land Cover Change,%,land_cover_change
2019,6.938817998579662,Land Cover Change,%,land_cover_change
2020,7.214726349971954,Land Cover Change,%,land_cover_change
2021,6.894696940117788,Land Cover Change,%,land_cover_change
2022,7.226593934829375,Land Cover Change,%,land_cover_change
2023,7.1599758370121664,Land Cover Change,%,land_cover_change
2024,7.6390093257849685,Land Cover Change,%,land_cover_change
