year,value,indicator,unit,code
2000,14.477921999637678,Land Surface Temperature,C,land_temp
2001,14.562212071967847,Land Surface Temperature,C,land_temp
2002,14.6617098046434,Land Surface Temperature,C,land_temp
2003,14.615228838362876,Land Surface Temperature,C,land_temp
2004,14.646603432951723,Land Surface Temperature,C,land_temp
2005,14.823501430611723,Land Surface Temperature,C,land_temp
2006,14.742595266686196,Land Surface Temperature,C,land_temp
2007,14.968990330685736,Land Surface Temperature,C,land_temp
2008,14.77568996749146,Land Surface Temperature,C,land_temp
2009,15.163498676479076,Land Surface Temperature,C,land_temp
2010,15.156711697889564,Land Surface Temperature,C,land_temp
2011,15.190723568117665,Land Surface Temperature,C,land_temp
2012,15.337922918073462,Land Surface Temperature,C,land_temp
2013,15.479856933335508,Land Surface Temperature,C,land_temp
2014,15.461724407802176,Land Surface Temperature,C,land_temp
2015,15.179095092240203,Land Surface Temperature,C,land_temp
2016,15.306450763991716,Land Surface Temperature,C,land_temp
2017,15.445021770676519,Land Surface Temperature,C,land_temp
2018,15.5831309260253,Land Surface Temperature,C,land_temp
2019,15.702119082456296,Land Surface Temperature,C,land_temp
2020,15.612910742421583,Land Surface Temperature,C,land_temp
2021,15.782412011737248,Land Surface Temperature,C,land_temp
2022,15.729354048117601,Land Surface Temperature,C,land_temp
2023,15.806617863640966,Land Surface Temperature,C,land_temp
2024,15.771200668378214,Land Surface Temperature,C,land_temp
