year,value,indicator,unit,code
2000,4.834200997815586,Lightning Frequency,flashes/km2,lightning_freq
2001,4.987963791960606,Lightning Frequency,flashes/km2,lightning_freq
2002,5.349458721024653,Lightning Frequency,flashes/km2,lightning_freq
2003,5.422074053086693,Lightning Frequency,flashes/km2,lightning_freq
2004,5.395819681207171,Lightning Frequency,flashes/km2,lightning_freq
2005,5.523465476661756,Lightning Frequency,flashes/km2,lightning_freq
2006,5.855532979157685,Lightning Frequency,flashes/km2,lightning_freq
2007,5.581685722232834,Lightning Frequency,flashes/km2,lightning_freq
2008,5.9094194762340075,Lightning Frequency,flashes/km2,lightning_freq
2009,5.859561469513221,Lightning Frequency,flashes/km2,lightning_freq
2010,5.9564637593545555,Lightning Frequency,flashes/km2,lightning_freq
2011,6.319755370397438,Lightning Frequency,flashes/km2,lightning_freq
2012,6.365083269797606,Lightning Frequency,flashes/km2,lightning_freq
2013,6.462701927200127,Lightning Frequency,flashes/km2,lightning_freq
2014,6.661095761430866,Lightning Frequency,flashes/km2,lightning_freq
2015,6.504200768326552,Lightning Frequency,flashes/km2,lightning_freq
2016,6.736390594258992,Lightning Frequency,flashes/km2,lightning_freq
2017,6.637946648681309,Lightning Frequency,flashes/km2,lightning_freq
2018,6.864833270497688,Lightning Frequency,flashes/km2,lightning_freq
2019,6.8739713891264635,Lightning Frequency,flashes/km2,lightning_freq
2020,7.019399192998543,Lightning Frequency,flashes/km2,lightning_freq
2021,7.2190314050873825,Lightning Frequency,flashes/km2,lightning_freq
2022,7.036355863353306,Lightning Frequency,flashes/km2,lightning_freq
2023,7.7184774551370925,Lightning Frequency,flashes/km2,lightning_freq
2024,7.19879652370006,Lightning Frequency,flashes/km2,lightning_freq
