year,value,indicator,unit,code
2000,12.133748331118502,Malnutrition (Climate-linked),%,malnutrition
2001,11.881659824772136,Malnutrition (Climate-linked),%,malnutrition
2002,12.122580059505118,Malnutrition (Climate-linked),%,malnutrition
2003,12.439107551513157,Malnutrition (Climate-linked),%,malnutrition
2004,12.569820422148629,Malnutrition (Climate-linked),%,malnutrition
2005,12.441206610467164,Malnutrition (Climate-linked),%,malnutrition
2006,12.585680149628386,Malnutrition (Climate-linked),%,malnutrition
2007,12.396425250663837,Malnutrition (Climate-linked),%,malnutrition
2008,12.728594159838678,Malnutrition (Climate-linked),%,malnutrition
2009,13.078076632703958,Malnutrition (Climate-linked),%,malnutrition
2010,13.115041003221313,Malnutrition (Climate-linked),%,malnutrition
2011,13.200133144276242,Malnutrition (Climate-linked),%,malnutrition
2012,13.209954737436192,Malnutrition (Climate-linked),%,malnutrition
2013,13.301412631725636,Malnutrition (Climate-linked),%,malnutrition
2014,13.26793577210531,Malnutrition (Climate-linked),%,malnutrition
2015,13.639765684040507,Malnutrition (Climate-linked),%,malnutrition
2016,13.684194588877878,Malnutrition (Climate-linked),%,malnutrition
2017,13.79840376959856,Malnutrition (Climate-linked),%,malnutrition
2018,13.694793031466485,Malnutrition (Climate-linked),%,malnutrition
2019,13.469331416025751,Malnutrition (Climate-linked),%,malnutrition
2020,14.21943054235074,Malnutrition (Climate-linked),%,malnutrition
2021,14.004232508798319,Malnutrition (Climate-linked),%,malnutrition
2022,14.027444847191376,Malnutrition (Climate-linked),%,malnutrition
2023,14.4386957823828,Malnutrition (Climate-linked),%,malnutrition
2024,14.321597472016174,Malnutrition (Climate-linked),%,malnutrition
