year,value,indicator,unit,code
2000,2.780471597341924,Marine Heatwaves,days/year,marine_heatwaves
2001,5.489830248467349,Marine Heatwaves,days/year,marine_heatwaves
2002,14.192339786645528,Marine Heatwaves,days/year,marine_heatwaves
2003,17.03889000688593,Marine Heatwaves,days/year,marine_heatwaves
2004,14.382733499582365,Marine Heatwaves,days/year,marine_heatwaves
2005,22.554369835109497,Marine Heatwaves,days/year,marine_heatwaves
2006,15.35391975092416,Marine Heatwaves,days/year,marine_heatwaves
2007,23.735680805410734,Marine Heatwaves,days/year,marine_heatwaves
2008,21.155935200950175,Marine Heatwaves,days/year,marine_heatwaves
2009,25.392655568791362,Marine Heatwaves,days/year,marine_heatwaves
2010,30.189594685265657,Marine Heatwaves,days/year,marine_heatwaves
2011,28.55834653886419,Marine Heatwaves,days/year,marine_heatwaves
2012,32.4617778230807,Marine Heatwaves,days/year,marine_heatwaves
2013,40.02517123685776,Marine Heatwaves,days/year,marine_heatwaves
2014,35.692432521907406,Marine Heatwaves,days/year,marine_heatwaves
2015,43.342768448260564,Marine Heatwaves,days/year,marine_heatwaves
2016,37.48117258136953,Marine Heatwaves,days/year,marine_heatwaves
2017,46.11921671166113,Marine Heatwaves,days/year,marine_heatwaves
2018,51.7662744826316,Marine Heatwaves,days/year,marine_heatwaves
2019,38.11342199949084,Marine Heatwaves,days/year,marine_heatwaves
2020,46.812418978118096,Marine Heatwaves,days/year,marine_heatwaves
2021,54.30828850872216,Marine Heatwaves,days/year,marine_heatwaves
2022,53.18781845582803,Marine Heatwaves,days/year,marine_heatwaves
2023,57.48458349348523,Marine Heatwaves,days/year,marine_heatwaves
2024,55.584059253136715,Marine Heatwaves,days/year,marine_heatwaves
