year,value,indicator,unit,code
2000,316.3150440070004,Nitrous Oxide (N2O) Level,ppb,n2o_conc
2001,315.9392753091811,Nitrous Oxide (N2O) Level,ppb,n2o_conc
2002,316.1215882392546,Nitrous Oxide (N2O) Level,ppb,n2o_conc
2003,317.54681724245677,Nitrous Oxide (N2O) Level,ppb,n2o_conc
2004,315.01988973663856,Nitrous Oxide (N2O) Level,ppb,n2o_conc
2005,318.64852497946,Nitrous Oxide (N2O) Level,ppb,n2o_conc
2006,320.3713801144188,Nitrous Oxide (N2O) Level,ppb,n2o_conc
2007,322.9646304715865,Nitrous Oxide (N2O) Level,ppb,n2o_conc
2008,320.57076765076215,Nitrous Oxide (N2O) Level,ppb,n2o_conc
2009,320.9064102353709,Nitrous Oxide (N2O) Level,ppb,n2o_conc
2010,322.1971887302647,Nitrous Oxide (N2O) Level,ppb,n2o_conc
2011,325.26464338832335,Nitrous Oxide (N2O) Level,ppb,n2o_conc
2012,325.1260017754555,Nitrous Oxide (N2O) Level,ppb,n2o_conc
2013,324.5523836739727,Nitrous Oxide (N2O) Level,ppb,n2o_conc
2014,327.02122789298136,Nitrous Oxide (N2O) Level,ppb,n2o_conc
2015,327.1553240789569,Nitrous Oxide (N2O) Level,ppb,n2o_conc
2016,329.34983198485264,Nitrous Oxide (N2O) Level,ppb,n2o_conc
2017,327.47671504979627,Nitrous Oxide (N2O) Level,ppb,n2o_conc
2018,328.87574056544355,Nitrous Oxide (N2O) Level,ppb,n2o_conc
2019,329.57262695498855,Nitrous Oxide (N2O) Level,ppb,n2o_conc
2020,328.65837608298864,Nitrous Oxide (N2O) Level,ppb,n2o_conc
2021,332.2737924433033,Nitrous Oxide (N2O) Level,ppb,n2o_conc
2022,333.01768843548786,Nitrous Oxide (N2O) Level,ppb,n2o_conc
2023,333.4081815306279,Nitrous Oxide (N2O) Level,ppb,n2o_conc
2024,333.82466058659975,Nitrous Oxide (N2O) Level,ppb,n2o_conc
