year,value,indicator,unit,code
2000,42.475294794002906,NDC Ambition Score,index,ndc_ambition
2001,38.8986093528673,NDC Ambition Score,index,ndc_ambition
2002,41.02565053277423,NDC Ambition Score,index,ndc_ambition
2003,43.58882191367,NDC Ambition Score,index,ndc_ambition
2004,41.96238722958036,NDC Ambition Score,index,ndc_ambition
2005,45.042226420835505,NDC Ambition Score,index,ndc_ambition
2006,47.57133737936602,NDC Ambition Score,index,ndc_ambition
2007,53.123167542138184,NDC Ambition Score,index,ndc_ambition
2008,52.78768398700578,NDC Ambition Score,index,ndc_ambition
2009,54.08076973410263,NDC Ambition Score,index,ndc_ambition
2010,57.55269388650392,NDC Ambition Score,index,ndc_ambition
2011,56.08788463480181,NDC Ambition Score,index,ndc_ambition
2012,59.17139454978667,NDC Ambition Score,index,ndc_ambition
2013,59.19033474120251,NDC Ambition Score,index,ndc_ambition
2014,61.796087048198885,NDC Ambition Score,index,ndc_ambition
2015,60.75172402716525,NDC Ambition Score,index,ndc_ambition
2016,56.683548525170714,NDC Ambition Score,index,ndc_ambition
2017,65.09716251344109,NDC Ambition Score,index,ndc_ambition
2018,71.26824440829982,NDC Ambition Score,index,ndc_ambition
2019,71.27864620672477,NDC Ambition Score,index,ndc_ambition
2020,72.89619245377351,NDC Ambition Score,index,ndc_ambition
2021,75.20839216541866,NDC Ambition Score,index,ndc_ambition
2022,73.26597277288431,NDC Ambition Score,index,ndc_ambition
2023,75.09194712221678,NDC Ambition Score,index,ndc_ambition
2024,74.14704431369695,NDC Ambition Score,index,ndc_ambition
