year,value,indicator,unit,code
2000,9.870754538031239,Nuclear Energy Share,%,nuclear_share
2001,10.255062178521904,Nuclear Energy Share,%,nuclear_share
2002,9.561272633648704,Nuclear Energy Share,%,nuclear_share
2003,9.883830834722,Nuclear Energy Share,%,nuclear_share
2004,9.800116463608596,Nuclear Energy Share,%,nuclear_share
2005,9.36587595818467,Nuclear Energy Share,%,nuclear_share
2006,9.678493060012865,Nuclear Energy Share,%,nuclear_share
2007,9.24999069708021,Nuclear Energy Share,%,nuclear_share
2008,9.25773872585597,Nuclear Energy Share,%,nuclear_share
2009,9.152064367754244,Nuclear Energy Share,%,nuclear_share
2010,8.97313825170589,Nuclear Energy Share,%,nuclear_share
2011,9.062161654631957,Nuclear Energy Share,%,nuclear_share
2012,8.958697744110443,Nuclear Energy Share,%,nuclear_share
2013,8.350293605352363,Nuclear Energy Share,%,nuclear_share
2014,8.86086804857563,Nuclear Energy Share,%,nuclear_share
2015,8.167501602392866,Nuclear Energy Share,%,nuclear_share
2016,8.606509240868332,Nuclear Energy Share,%,nuclear_share
2017,8.525341027365517,Nuclear Energy Share,%,nuclear_share
2018,7.98180671395696,Nuclear Energy Share,%,nuclear_share
2019,8.017837142409082,Nuclear Energy Share,%,nuclear_share
2020,7.778859066302813,Nuclear Energy Share,%,nuclear_share
2021,7.857015793942253,Nuclear Energy Share,%,nuclear_share
2022,7.738393143162852,Nuclear Energy Share,%,nuclear_share
2023,7.855932106453867,Nuclear Energy Share,%,nuclear_share
2024,7.862061749223921,Nuclear Energy Share,%,nuclear_share
