year,value,indicator,unit,code
2000,0.5036979121898907,Ocean Current Velocity,m/s,ocean_current
2001,0.5012531300590956,Ocean Current Velocity,m/s,ocean_current
2002,0.49746222261889034,Ocean Current Velocity,m/s,ocean_current
2003,0.4947869481825167,Ocean Current Velocity,m/s,ocean_current
2004,0.5011467196064997,Ocean Current Velocity,m/s,ocean_current
2005,0.495118436868029,Ocean Current Velocity,m/s,ocean_current
2006,0.49402785858382586,Ocean Current Velocity,m/s,ocean_current
2007,0.49295174982578,Ocean Current Velocity,m/s,ocean_current
2008,0.4923961695215357,Ocean Current Velocity,m/s,ocean_current
2009,0.4907112791761521,Ocean Current Velocity,m/s,ocean_current
2010,0.4888526759862395,Ocean Current Velocity,m/s,ocean_current
2011,0.4879062821175192,Ocean Current Velocity,m/s,ocean_current
2012,0.487934493459568,Ocean Current Velocity,m/s,ocean_current
2013,0.4859131504577325,Ocean Current Velocity,m/s,ocean_current
2014,0.48457430843464566,Ocean Current Velocity,m/s,ocean_current
2015,0.48521286045538375,Ocean Current Velocity,m/s,ocean_current
2016,0.4834900455651583,Ocean Current Velocity,m/s,ocean_current
2017,0.4860079859771654,Ocean Current Velocity,m/s,ocean_current
2018,0.47669806038321394,Ocean Current Velocity,m/s,ocean_current
2019,0.4831830137038449,Ocean Current Velocity,m/s,ocean_current
2020,0.48249217038499526,Ocean Current Velocity,m/s,ocean_current
2021,0.47485321953518367,Ocean Current Velocity,m/s,ocean_current
2022,0.4773146248118393,Ocean Current Velocity,m/s,ocean_current
2023,0.4762571182680084,Ocean Current Velocity,m/s,ocean_current
2024,0.47318497661056436,Ocean Current Velocity,m/s,ocean_current
