year,value,indicator,unit,code
2000,27.372631150646974,Ocean Heat Content,ZJ,ocean_heat
2001,-9.29846921160209,Ocean Heat Content,ZJ,ocean_heat
2002,33.72102919996878,Ocean Heat Content,ZJ,ocean_heat
2003,51.16848973699176,Ocean Heat Content,ZJ,ocean_heat
2004,4.825210271537713,Ocean Heat Content,ZJ,ocean_heat
2005,26.3348297466845,Ocean Heat Content,ZJ,ocean_heat
2006,19.21535644479799,Ocean Heat Content,ZJ,ocean_heat
2007,64.61186331110885,Ocean Heat Content,ZJ,ocean_heat
2008,94.35084511591924,Ocean Heat Content,ZJ,ocean_heat
2009,120.04714104192055,Ocean Heat Content,ZJ,ocean_heat
2010,101.4818956083955,Ocean Heat Content,ZJ,ocean_heat
2011,142.57231091142583,Ocean Heat Content,ZJ,ocean_heat
2012,92.39797083570217,Ocean Heat Content,ZJ,ocean_heat
2013,95.9323512128969,Ocean Heat Content,ZJ,ocean_heat
2014,138.88904602206762,Ocean Heat Content,ZJ,ocean_heat
2015,157.68130897878615,Ocean Heat Content,ZJ,ocean_heat
2016,159.34610503811814,Ocean Heat Content,ZJ,ocean_heat
2017,128.65115799920247,Ocean Heat Content,ZJ,ocean_heat
2018,178.21759920974424,Ocean Heat Content,ZJ,ocean_heat
2019,163.91060998990292,Ocean Heat Content,ZJ,ocean_heat
2020,213.39345097660077,Ocean Heat Content,ZJ,ocean_heat
2021,217.33196492193696,Ocean Heat Content,ZJ,ocean_heat
2022,201.20240427345288,Ocean Heat Content,ZJ,ocean_heat
2023,219.72266165326613,Ocean Heat Content,ZJ,ocean_heat
2024,218.81572956222098,Ocean Heat Content,ZJ,ocean_heat
