year,value,indicator,unit,code
2000,8.109003855841774,Ocean Acidification (pH),pH,ocean_ph
2001,8.110306227852222,Ocean Acidification (pH),pH,ocean_ph
2002,8.107245000618175,Ocean Acidification (pH),pH,ocean_ph
2003,8.11631552323382,Ocean Acidification (pH),pH,ocean_ph
2004,8.106478299645739,Ocean Acidification (pH),pH,ocean_ph
2005,8.099488329634077,Ocean Acidification (pH),pH,ocean_ph
2006,8.094177838237597,Ocean Acidification (pH),pH,ocean_ph
2007,8.08957421471897,Ocean Acidification (pH),pH,ocean_ph
2008,8.09481385454347,Ocean Acidification (pH),pH,ocean_ph
2009,8.088974597018861,Ocean Acidification (pH),pH,ocean_ph
2010,8.08431098516161,Ocean Acidification (pH),pH,ocean_ph
2011,8.08541370846303,Ocean Acidification (pH),pH,ocean_ph
2012,8.081673807985542,Ocean Acidification (pH),pH,ocean_ph
2013,8.09074856654029,Ocean Acidification (pH),pH,ocean_ph
2014,8.085526559027796,Ocean Acidification (pH),pH,ocean_ph
2015,8.079968109434734,Ocean Acidification (pH),pH,ocean_ph
2016,8.08391977655556,Ocean Acidification (pH),pH,ocean_ph
2017,8.07630947323059,Ocean Acidification (pH),pH,ocean_ph
2018,8.070554863194687,Ocean Acidification (pH),pH,ocean_ph
2019,8.078092496309077,Ocean Acidification (pH),pH,ocean_ph
2020,8.072155640174739,Ocean Acidification (pH),pH,ocean_ph
2021,8.063851015382694,Ocean Acidification (pH),pH,ocean_ph
2022,8.065238645287664,Ocean Acidification (pH),pH,ocean_ph
2023,8.060497526986461,Ocean Acidification (pH),pH,ocean_ph
2024,8.056468801076141,Ocean Acidification (pH),pH,ocean_ph
