year,value,indicator,unit,code
2000,180.21600961314292,Oil Consumption,EJ,oil_cons
2001,180.01053562086824,Oil Consumption,EJ,oil_cons
2002,180.456203272347,Oil Consumption,EJ,oil_cons
2003,180.3135711021055,Oil Consumption,EJ,oil_cons
2004,180.57055473502444,Oil Consumption,EJ,oil_cons
2005,180.59694656345889,Oil Consumption,EJ,oil_cons
2006,180.4307286690018,Oil Consumption,EJ,oil_cons
2007,180.57129003353648,Oil Consumption,EJ,oil_cons
2008,181.00599216351625,Oil Consumption,EJ,oil_cons
2009,180.8330449335787,Oil Consumption,EJ,oil_cons
2010,180.9192703073516,Oil Consumption,EJ,oil_cons
2011,180.9089754841301,Oil Consumption,EJ,oil_cons
2012,181.28471981311867,Oil Consumption,EJ,oil_cons
2013,181.71250498384865,Oil Consumption,EJ,oil_cons
2014,181.18649341714914,Oil Consumption,EJ,oil_cons
2015,181.50484389133456,Oil Consumption,EJ,oil_cons
2016,181.8824441110831,Oil Consumption,EJ,oil_cons
2017,181.68407172175085,Oil Consumption,EJ,oil_cons
2018,181.89047435924996,Oil Consumption,EJ,oil_cons
2019,181.68752129437064,Oil Consumption,EJ,oil_cons
2020,182.08566141944152,Oil Consumption,EJ,oil_cons
2021,182.0625711469991,Oil Consumption,EJ,oil_cons
2022,182.39714599913597,Oil Consumption,EJ,oil_cons
2023,182.53747721031297,Oil Consumption,EJ,oil_cons
2024,182.91791272840373,Oil Consumption,EJ,oil_cons
